# log(age/yr)   M_ini       M_act   logL/Lo logTe   logG    mbol    u       g       r       i       z   C/O M_hec   period  pmode   logMdot int_IMF
    10.00   0.8950002789    0.8615  2.6352  3.6566  1.3106  -1.818  1.321   -0.771  -1.653  -1.970  -2.150  0.4787  0.0000  6.7 1   -11.582 3.1085503101
    10.00   0.8950310946    0.8579  2.6953  3.6528  1.2333  -1.968  1.279   -0.881  -1.789  -2.116  -2.302  0.4787  0.0000  7.6 1   -11.582 3.1085608006
    10.00   0.8950597644    0.8536  2.7575  3.6489  1.1535  -2.124  1.237   -0.993  -1.928  -2.265  -2.458  0.4787  0.0000  8.7 1   -11.585 3.1085708141
    10.00   0.8950840831    0.8490  2.8159  3.6452  1.0778  -2.270  1.206   -1.094  -2.054  -2.401  -2.602  0.4787  0.0000  10.4    1   -11.592 3.1085791588
    10.00   0.8951038718    0.8444  2.8685  3.6415  1.0078  -2.401  1.189   -1.179  -2.166  -2.523  -2.732  0.4787  0.0000  11.8    1   -11.603 3.1085858345
    10.00   0.8951259255    0.8379  2.9320  3.6372  0.9242  -2.560  1.173   -1.282  -2.301  -2.672  -2.888  0.4787  0.0000  13.6    1   -11.625 3.1085934639
    10.00   0.8951457739    0.8306  2.9939  3.6329  0.8409  -2.715  1.167   -1.378  -2.432  -2.816  -3.041  0.4787  0.0000  15.7    1   -11.657 3.1086003780
    10.00   0.8951590061    0.8243  3.0406  3.6293  0.7767  -2.831  1.173   -1.446  -2.528  -2.923  -3.156  0.4787  0.0000  17.6    1   -11.692 3.1086049080
    10.00   0.8951744437    0.8155  3.0978  3.6250  0.6977  -2.975  1.180   -1.530  -2.647  -3.055  -3.297  0.4787  0.0000  20.2    1   -11.621 3.1086101532
    10.00   0.8951876760    0.8061  3.1510  3.6215  0.6253  -3.108  1.187   -1.604  -2.754  -3.176  -3.426  0.4787  0.0000  22.9    1   -11.123 3.1086146832
    10.00   0.8952009082    0.7942  3.2111  3.6180  0.5447  -3.258  1.184   -1.694  -2.879  -3.313  -3.572  0.4787  0.0000  26.4    1   -10.584 3.1086192131
    10.00   0.8952141404    0.7790  3.2689  3.6138  0.4618  -3.402  1.211   -1.766  -2.992  -3.442  -3.712  0.4787  0.0000  30.5    1   -10.053 3.1086237431
    10.00   0.8952163458    0.7761  3.2808  3.6130  0.4453  -3.432  1.214   -1.782  -3.016  -3.469  -3.741  0.4787  0.0000  31.4    1   -9.949  3.1086246967
    10.00   0.8952163458    0.7749  1.6943  3.7365  2.5252  0.534   2.200   1.002   0.533   0.376   0.312   0.4787  0.0000  0.8 1   -11.760 3.1086246967
    10.00   0.8952873349    0.7750  1.7058  3.7350  2.5077  0.506   2.187   0.981   0.505   0.345   0.279   0.4787  0.0000  0.8 1   -11.759 3.1086490154
    10.00   0.8953883648    0.7751  1.7135  3.7343  2.4971  0.486   2.175   0.965   0.486   0.325   0.258   0.4787  0.0000  0.9 1   -11.759 3.1086838245
    10.00   0.8954572082    0.7752  1.7169  3.7341  2.4930  0.478   2.169   0.957   0.478   0.316   0.249   0.4787  0.0000  0.9 1   -11.758 3.1087074280
    10.00   0.8955000639    0.7753  1.7177  3.7342  2.4925  0.476   2.166   0.955   0.476   0.314   0.247   0.4787  0.0000  0.9 1   -11.758 3.1087222099
    10.00   0.8956276774    0.7754  1.7183  3.7349  2.4948  0.474   2.158   0.950   0.474   0.314   0.248   0.4787  0.0000  0.9 1   -11.757 3.1087660789
    10.00   0.8957605958    0.7756  1.7169  3.7361  2.5012  0.478   2.149   0.947   0.476   0.318   0.254   0.4787  0.0000  0.9 1   -11.756 3.1088116169
    10.00   0.8958996534    0.7758  1.7155  3.7373  2.5076  0.481   2.141   0.944   0.479   0.323   0.260   0.4787  0.0000  0.8 1   -11.754 3.1088595390
    10.00   0.8960435390    0.7760  1.7148  3.7383  2.5124  0.483   2.133   0.941   0.480   0.326   0.264   0.4787  0.0000  0.8 1   -11.753 3.1089088917
    10.00   0.8961907029    0.7761  1.7146  3.7392  2.5160  0.483   2.125   0.937   0.480   0.327   0.267   0.4787  0.0000  0.8 1   -11.752 3.1089594364
    10.00   0.8963386416    0.7763  1.7153  3.7398  2.5178  0.482   2.118   0.933   0.478   0.326   0.266   0.4787  0.0000  0.8 1   -11.751 3.1090102196
    10.00   0.8964819908    0.7765  1.7168  3.7401  2.5180  0.478   2.111   0.927   0.474   0.323   0.264   0.4787  0.0000  0.8 1   -11.750 3.1090593338
