#Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
72.685 -1.60  3 6.15 3.648  1.17  9 0.82  1.183  0.616  1.266  2.782 17.879   -0.043   -0.066   65.48  -10.29 -267.02  -78.81 -2.79 183.50003  -3.10000  0.072 -2.087
21.735 -2.00  3 6.32 3.634  0.91  9 0.82  1.303  1.170  1.317  2.939 14.757   -0.220   -0.299  190.79  -26.12 -426.54  -12.32 -0.93 183.50003  -1.30000  0.071 -2.600
24.085 -1.60  3 6.15 3.648  1.17  9 0.82  1.200  0.697  1.246  2.771 15.416   -0.212   -0.227   56.33  -79.30 -332.85 -108.15 -2.19 183.50003  -1.30000  0.071 -2.087
31.785 -1.60  3 6.15 3.648  1.17  9 0.82  1.228  0.909  1.201  2.752 15.946   -0.220   -0.030  -97.19 -277.17 -143.69 -153.91 -1.24 183.50003  -1.30000  0.071 -2.087
35.835 -1.40  3 6.08 3.654  1.29  9 0.82  1.160  0.611  1.189  2.693 16.499   -0.090   -0.054   57.97  -80.82 -168.03  -15.20 -2.29 183.50003  -1.30000  0.071 -1.845
37.485 -1.60  3 6.15 3.648  1.17  9 0.82  1.218  0.823  1.213  2.754 16.306   -0.096   -0.065   98.87  -81.24 -213.43    6.86 -1.55 183.50003  -1.30000  0.071 -2.087
46.185 -1.20  3 6.01 3.660  1.41  9 0.82  1.153  0.776  1.104  2.603 17.279   -0.101    0.006  -71.23 -207.84  -60.80  -87.64 -1.18 183.50003  -1.30000  0.071 -1.610
25.585 -2.00  3 6.32 3.634  0.91  9 0.82  1.293  0.891  1.382  2.961 15.018   -0.138   -0.103  200.29  -64.09 -264.76   96.79 -2.06 183.50003   0.30000  0.070 -2.600
42.235 -1.20  3 6.01 3.660  1.41  9 0.82  1.119  0.607  1.125  2.608 17.004   -0.043   -0.027  120.32  -36.74 -136.89   69.44 -1.86 183.50003   0.30000  0.070 -1.610
47.435 -2.00  3 6.32 3.634  0.91  9 0.82  1.295  1.096  1.320  2.940 16.448   -0.029   -0.073   67.95   28.92 -185.39  -22.74 -1.16 183.50003   0.30000  0.070 -2.600
49.985 -2.00  3 6.32 3.634  0.91  9 0.82  1.293  0.912  1.373  2.957 16.546   -0.008   -0.048  -29.13   35.75  -79.98  -78.73 -1.95 183.50003   0.30000  0.070 -2.600
50.035 -2.40  3 6.52 3.616  0.60  9 0.82  1.423  1.242  1.506  3.261 16.120   -0.022   -0.064 -106.10   17.74  -90.79 -169.46 -1.47 183.50003   0.30000  0.070 -3.184
51.985 -1.60  3 6.15 3.648  1.17  9 0.82  1.204  0.732  1.237  2.766 16.990   -0.094   -0.032  234.21 -139.19 -275.99  138.12 -1.98 183.50003   0.30000  0.070 -2.087
53.235 -2.40  3 6.52 3.616  0.60  9 0.82  1.466  1.078  1.618  3.323 16.258   -0.034   -0.080  332.47   58.65 -345.53  190.27 -2.46 183.50003   0.30000  0.070 -3.184
57.735 -1.20  3 6.01 3.660  1.41  9 0.82  1.120  0.612  1.124  2.607 17.690    0.031   -0.117   56.32  234.40 -225.48  -80.66 -1.84 183.50003   0.30000  0.070 -1.610
73.835 -2.00  3 6.32 3.634  0.91  9 0.82  1.292  0.974  1.347  2.946 17.426   -0.065   -0.024  124.66 -142.29 -227.74   39.44 -1.64 183.50003   0.30000  0.070 -2.600
13.435 -1.60  3 6.15 3.648  1.17  9 0.82  1.240  0.996  1.195  2.753 14.042   -0.609    0.028  241.75 -305.80 -294.44  170.86 -0.96 185.30003  -3.10000  0.072 -2.087
19.035 -2.40  3 6.52 3.616  0.60  9 0.82  1.420  1.282  1.496  3.259 14.054   -0.185   -0.222  113.00  -31.28 -281.45  -22.39 -1.33 185.30003  -3.10000  0.072 -3.184
36.685 -1.80  3 6.23 3.641  1.04  9 0.82  1.249  0.865  1.288  2.854 16.163   -0.098   -0.103  215.46  -28.42 -318.43   75.41 -1.74 185.30003  -3.10000  0.072 -2.338
37.985 -1.60  3 6.15 3.648  1.17  9 0.82  1.201  0.703  1.245  2.772 16.390   -0.084   -0.114  164.42   -6.36 -302.96   20.68 -2.16 185.30003  -3.10000  0.072 -2.087
38.285 -2.00  3 6.32 3.634  0.91  9 0.82  1.293  0.983  1.344  2.947 15.993   -0.043   -0.128  130.07   63.57 -270.29  -13.68 -1.60 185.30003  -3.10000  0.072 -2.600
55.985 -1.80  3 6.23 3.641  1.04  9 0.82  1.262  1.031  1.256  2.844 16.921   -0.061   -0.068   87.83  -40.89 -251.88  -33.14 -1.08 185.30003  -3.10000  0.072 -2.338
25.585 -1.40  3 6.08 3.654  1.29  9 0.82  1.184  0.740  1.162  2.676 15.758    0.031   -0.160  130.35  144.38 -185.77   26.73 -1.61 185.30003  -1.30000  0.071 -1.845
34.985 -1.60  3 6.15 3.648  1.17  9 0.82  1.197  0.668  1.252  2.775 16.251   -0.123   -0.092  120.86  -84.65 -268.52    9.49 -2.37 185.30003  -1.30000  0.071 -2.087
38.085 -1.80  3 6.23 3.641  1.04  9 0.82  1.253  0.913  1.272  2.846 16.257   -0.136   -0.077  140.79 -125.60 -288.60   28.35 -1.51 185.30003  -1.30000  0.071 -2.338
40.535 -2.50  3 6.61 3.608  0.47  9 0.82  1.513  1.263  1.640  3.449 15.627   -0.027   -0.059   20.60   12.50 -118.30  -41.36 -1.94 185.30003  -1.30000  0.071 -3.426
43.685 -2.40  3 6.52 3.616  0.60  9 0.82  1.428  1.220  1.518  3.267 15.785    0.021   -0.099  104.16  152.26 -178.90   -0.87 -1.57 185.30003  -1.30000  0.071 -3.184
64.535 -1.40  3 6.08 3.654  1.29  9 0.82  1.161  0.617  1.188  2.692 17.741   -0.039   -0.020  223.26  -41.07 -207.54  151.92 -2.25 185.30003  -1.30000  0.071 -1.845
10.085 -1.40  3 6.08 3.654  1.29  9 0.82  1.190  0.773  1.155  2.672 13.604   -0.747   -0.101 -129.70 -302.36 -153.31 -178.65 -1.46 185.30003   0.30000  0.070 -1.845
11.085 -1.20  3 6.01 3.660  1.41  9 0.82  1.100  0.521  1.141  2.618 14.168    0.009   -0.235   36.29   68.89 -106.41  -22.41 -2.37 185.30003   0.30000  0.070 -1.610
12.285 -1.20  3 6.01 3.660  1.41  9 0.82  1.133  0.669  1.113  2.601 14.373   -0.041   -0.199   -1.17   35.34  -98.39  -55.71 -1.55 185.30003   0.30000  0.070 -1.610
26.835 -1.20  3 6.01 3.660  1.41  9 0.82  1.101  0.526  1.140  2.617 16.023   -0.013   -0.089  112.93   55.21 -142.98   47.73 -2.34 185.30003   0.30000  0.070 -1.610
30.535 -1.80  3 6.23 3.641  1.04  9 0.82  1.253  0.919  1.270  2.845 15.662   -0.145   -0.049   62.68 -138.47 -184.07   -1.10 -1.48 185.30003   0.30000  0.070 -2.338
34.885 -2.40  3 6.52 3.616  0.60  9 0.82  1.425  1.228  1.512  3.263 15.375   -0.044   -0.017  111.62  -34.84 -106.10   77.91 -1.53 185.30003   0.30000  0.070 -3.184
35.435 -2.20  3 6.41 3.625  0.76  9 0.82  1.362  1.014  1.470  3.107 15.520   -0.127   -0.123  155.14  -64.16 -327.89   20.33 -2.01 185.30003   0.30000  0.070 -2.881
40.635 -2.40  3 6.52 3.616  0.60  9 0.82  1.419  1.279  1.496  3.257 15.749   -0.058   -0.074  252.14    5.27 -273.90  146.55 -1.33 185.30003   0.30000  0.070 -3.184
42.985 -1.80  3 6.23 3.641  1.04  9 0.82  1.243  0.811  1.305  2.859 16.478   -0.102    0.026  -52.30 -211.63  -38.51  -47.22 -1.99 185.30003   0.30000  0.070 -2.338
58.085 -1.40  3 6.08 3.654  1.29  9 0.82  1.127  0.516  1.206  2.696 17.448   -0.077   -0.068  149.44  -71.96 -310.35   23.81 -3.04 185.30003   0.30000  0.070 -1.845
64.535 -1.20  3 6.01 3.660  1.41  9 0.82  1.105  0.545  1.136  2.615 17.904   -0.053   -0.043 -145.19  -94.52 -114.68 -207.26 -2.21 185.30003   0.30000  0.070 -1.610
64.785 -2.20  3 6.41 3.625  0.76  9 0.82  1.358  1.321  1.397  3.076 16.856   -0.063   -0.037   -6.00 -112.33 -178.34  -79.52 -0.84 185.30003   0.30000  0.070 -2.881
65.835 -1.20  3 6.01 3.660  1.41  9 0.82  1.115  0.589  1.128  2.609 17.984   -0.025   -0.080  142.09   70.96 -288.14    5.69 -1.95 185.30003   0.30000  0.070 -1.610
10.235 -2.00  3 6.32 3.634  0.91  9 0.82  1.293  0.921  1.370  2.957 13.159   -0.456   -0.762  151.67   13.56 -450.34  -73.51 -1.91 187.10003  -3.10000  0.072 -2.600
17.835 -1.80  3 6.23 3.641  1.04  9 0.82  1.247  0.848  1.294  2.856 14.553   -0.158   -0.434  221.21  100.64 -436.91   -4.22 -1.82 187.10003  -3.10000  0.072 -2.338
21.085 -1.40  3 6.08 3.654  1.29  9 0.82  1.181  0.721  1.167  2.679 15.344   -0.068   -0.145  -43.50    2.04 -118.35 -115.71 -1.70 187.10003  -3.10000  0.072 -1.845
27.335 -2.50  3 6.61 3.608  0.47  9 0.82  1.474  1.465  1.550  3.403 14.822   -0.120   -0.072  179.02  -55.76 -230.31   93.61 -1.06 187.10003  -3.10000  0.072 -3.426
36.785 -1.80  3 6.23 3.641  1.04  9 0.82  1.252  0.905  1.275  2.848 16.144    0.053   -0.177  -51.64  216.64 -153.57 -190.63 -1.54 187.10003  -3.10000  0.072 -2.338
62.935 -1.40  3 6.08 3.654  1.29  9 0.82  1.148  0.563  1.198  2.698 17.748   -0.011   -0.086   59.13  106.46 -230.67  -80.61 -2.61 187.10003  -3.10000  0.072 -1.845
68.085 -2.20  3 6.41 3.625  0.76  9 0.82  1.358  1.317  1.398  3.078 16.979   -0.027   -0.116  169.74  135.10 -395.28  -48.56 -0.85 187.10003  -3.10000  0.072 -2.881
16.035 -1.60  3 6.15 3.648  1.17  9 0.82  1.214  0.797  1.220  2.757 14.529   -0.386   -0.254  187.80 -127.42 -374.65   47.15 -1.67 187.10003  -1.30000  0.070 -2.087
21.785 -1.20  3 6.01 3.660  1.41  9 0.82  1.109  0.559  1.134  2.614 15.633   -0.199   -0.006  181.11 -142.56 -188.67  137.63 -2.12 187.10003  -1.30000  0.070 -1.610
38.785 -2.40  3 6.52 3.616  0.60  9 0.82  1.440  1.160  1.553  3.286 15.602   -0.080   -0.167   -4.86   20.97 -298.09 -162.16 -1.90 187.10003  -1.30000  0.070 -3.184
41.185 -1.20  3 6.01 3.660  1.41  9 0.82  1.119  0.605  1.125  2.608 16.970   -0.057   -0.157  102.90   68.61 -328.54  -64.16 -1.87 187.10003  -1.30000  0.070 -1.610
10.685 -1.60  3 6.15 3.648  1.17  9 0.82  1.294  1.226  1.207  2.760 13.645   -0.128    0.009  -88.38  -71.65    8.82  -82.41 -0.44 187.10003   0.30000  0.069 -2.087
16.235 -1.60  3 6.15 3.648  1.17  9 0.82  1.192  0.642  1.258  2.777 14.541   -0.097   -0.243  -45.75   19.57 -158.14 -130.92 -2.54 187.10003   0.30000  0.069 -2.087
19.635 -2.40  3 6.52 3.616  0.60  9 0.82  1.413  1.339  1.479  3.250 14.067   -0.173   -0.331  219.63   45.81 -406.48   43.18 -1.12 187.10003   0.30000  0.069 -3.184
26.285 -1.20  3 6.01 3.660  1.41  9 0.82  1.111  0.572  1.131  2.611 16.007   -0.213   -0.302  180.28  -16.96 -492.76  -31.46 -2.04 187.10003   0.30000  0.069 -1.610
26.885 -1.80  3 6.23 3.641  1.04  9 0.82  1.249  0.880  1.282  2.849 15.479   -0.021   -0.156   35.46   78.84 -177.62  -59.50 -1.66 187.10003   0.30000  0.069 -2.338
30.485 -2.00  3 6.32 3.634  0.91  9 0.82  1.296  0.829  1.407  2.974 15.517    0.025   -0.123  123.42  135.92 -168.13   33.82 -2.45 187.10003   0.30000  0.069 -2.600
35.985 -1.40  3 6.08 3.654  1.29  9 0.82  1.176  0.699  1.171  2.680 16.377   -0.075   -0.257  230.95  138.17 -492.51   -1.78 -1.80 187.10003   0.30000  0.069 -1.845
37.635 -1.60  3 6.15 3.648  1.17  9 0.82  1.232  0.947  1.196  2.750 16.397   -0.112   -0.054  124.24 -105.46 -225.78   49.61 -1.11 187.10003   0.30000  0.069 -2.087
56.535 -2.50  3 6.61 3.608  0.47  9 0.82  1.480  1.412  1.565  3.409 16.408   -0.035   -0.102   99.38   67.17 -295.07  -42.12 -1.24 187.10003   0.30000  0.069 -3.426
11.385 -1.80  3 6.23 3.641  1.04  9 0.82  1.243  0.768  1.319  2.869 13.522    0.226   -0.202  344.35  229.20 -173.25  250.69 -2.27 188.90003  -3.10000  0.072 -2.338
