# Dist    Mv  CL Typ  LTef  logg Age Mass  B-V    U-B    V-I    V-K    V        mux     muy        Vr    UU      VV      WW   [Fe/H] a(deg)      d(deg)    Av   Mbol
67.810 -1.40  3 6.08 3.654  1.29  9 0.82  1.182  0.700  1.181  2.700 17.753    0.054   -0.076  -45.69  -27.03 -292.43  -80.13 -1.82   4.50000  -3.10000  0.092 -1.845
14.830 -1.40  3 6.08 3.654  1.29  9 0.82  1.164  0.600  1.201  2.714 14.595    0.050   -0.250  -36.18   59.22 -165.78  -47.92 -2.38   4.50000  -1.30000  0.093 -1.845
22.950 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.940  1.373  2.974 14.814    0.028   -0.422 -145.75  213.41 -426.82  -71.92 -1.84   4.50000  -1.30000  0.093 -2.600
45.410 -1.40  3 6.08 3.654  1.29  9 0.82  1.179  0.683  1.185  2.704 17.013    0.028   -0.140   -8.43   94.57 -261.80 -130.37 -1.91   4.50000  -1.30000  0.093 -1.845
67.070 -1.80  3 6.23 3.641  1.04  9 0.82  1.252  0.834  1.309  2.877 17.475    0.097    0.013  -19.86 -286.97 -125.80   -4.20 -1.91   4.50000  -1.30000  0.093 -2.338
69.550 -1.40  3 6.08 3.654  1.29  9 0.82  1.170  0.635  1.195  2.710 17.996    0.035   -0.078  -37.99   28.13 -267.11  -91.71 -2.17   4.50000  -1.30000  0.093 -1.845
78.670 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  1.025  1.341  2.961 17.577    0.009    0.017 -212.47  -37.06  -62.95  211.73 -1.44   4.50000  -1.30000  0.093 -2.600
 9.210 -1.40  3 6.08 3.654  1.29  9 0.82  1.206  0.842  1.160  2.694 13.488    0.306   -0.393   -8.62  -31.69 -196.53  -88.09 -1.25   4.50000   0.30000  0.094 -1.845
16.770 -2.20  3 6.41 3.625  0.76  9 0.82  1.358  1.114  1.433  3.107 13.927    0.367   -0.646 -229.55   23.73 -629.08  -70.01 -1.54   4.50000   0.30000  0.094 -2.881
18.250 -2.50  3 6.61 3.608  0.47  9 0.82  1.522  1.266  1.651  3.472 13.879    0.137   -0.088  -97.37  -53.78 -158.33   35.70 -1.96   4.50000   0.30000  0.094 -3.426
24.130 -2.40  3 6.52 3.616  0.60  9 0.82  1.423  1.327  1.494  3.274 14.537    0.098   -0.169 -155.95   15.46 -269.53   34.70 -1.19   4.50000   0.30000  0.094 -3.184
26.510 -1.60  3 6.15 3.648  1.17  9 0.82  1.227  0.836  1.221  2.774 15.688    0.108   -0.185 -120.34    9.52 -294.85  -18.10 -1.52   4.50000   0.30000  0.094 -2.087
26.970 -1.40  3 6.08 3.654  1.29  9 0.82  1.167  0.615  1.199  2.714 15.820    0.087   -0.260 -348.30  106.84 -461.43  140.54 -2.30   4.50000   0.30000  0.094 -1.845
30.870 -1.80  3 6.23 3.641  1.04  9 0.82  1.262  0.934  1.279  2.867 15.673    0.095   -0.155  116.68  -25.00 -183.52 -224.59 -1.45   4.50000   0.30000  0.094 -2.338
31.670 -1.60  3 6.15 3.648  1.17  9 0.82  1.200  0.647  1.268  2.800 15.917    0.176   -0.085  -97.34 -154.83 -267.56   -7.07 -2.55   4.50000   0.30000  0.094 -2.087
41.150 -1.40  3 6.08 3.654  1.29  9 0.82  1.193  0.754  1.170  2.696 16.816    0.065   -0.077  -57.93  -30.17 -199.55  -33.86 -1.57   4.50000   0.30000  0.094 -1.845
56.990 -1.40  3 6.08 3.654  1.29  9 0.82  1.166  0.611  1.200  2.714 17.388    0.011   -0.118 -171.12  149.35 -329.54    1.99 -2.32   4.50000   0.30000  0.094 -1.845
76.550 -1.80  3 6.23 3.641  1.04  9 0.82  1.257  0.885  1.293  2.872 17.625    0.025   -0.020  -16.01  -41.17 -105.27  -30.86 -1.67   4.50000   0.30000  0.094 -2.338
24.090 -2.00  3 6.32 3.634  0.91  9 0.82  1.301  1.073  1.333  2.959 15.092    0.138   -0.147  -55.77  -46.56 -229.42  -32.82 -1.26   6.30000  -3.10000  0.091 -2.600
28.730 -2.00  3 6.32 3.634  0.91  9 0.82  1.300  0.901  1.389  2.979 15.302    0.004   -0.078 -237.67   76.56 -179.59  172.58 -2.04   6.30000  -3.10000  0.091 -2.600
32.450 -1.60  3 6.15 3.648  1.17  9 0.82  1.222  0.810  1.226  2.775 15.992   -0.036   -0.071 -214.93  127.50 -141.79  157.32 -1.64   6.30000  -3.10000  0.091 -2.087
47.290 -1.20  3 6.01 3.660  1.41  9 0.82  1.187  0.911  1.115  2.625 17.358    0.023   -0.049  -33.59   14.78 -124.17  -19.35 -0.81   6.30000  -3.10000  0.091 -1.610
75.270 -1.80  3 6.23 3.641  1.04  9 0.82  1.263  0.963  1.274  2.863 17.598    0.077   -0.110 -205.15  -19.49 -521.07    0.25 -1.34   6.30000  -3.10000  0.091 -2.338
78.870 -1.80  3 6.23 3.641  1.04  9 0.82  1.273  1.072  1.262  2.861 17.736    0.035   -0.081 -109.29   47.72 -342.23  -35.88 -0.97   6.30000  -3.10000  0.091 -2.338
13.370 -2.50  3 6.61 3.608  0.47  9 0.82  1.517  1.281  1.641  3.464 13.237    0.157   -0.293  -64.76   13.45 -217.46  -32.14 -1.87   6.30000  -1.30000  0.093 -3.426
