#recno|Group|HIP|[Fe/H]|Teff|logg|HRV|ULSR|VLSR|WLSR|Rm|e|Zmax|tau9|E_tau9|e_tau9|Pr|e_Pr|[FeI/H]|[C/H]|[O/H]|[Na/H]|[Mg/H]|[Al/H]|[Si/H]|[Ca/H]|[Sc/H]|[Ti/H]|[V/H]|[Cr/H]|[Mn/H]|[Co/H]|[Ni/H]|[Cu/H]|[Zn/H]|[Y/H]|[Ba/H]|[Ce/H]|[Nd/H]|[Eu/H]|_RA|_DE
# | | |Sun|K|[cm/s2]|km/s|km/s|km/s|km/s|kpc| |kpc|Gyr|Gyr|Gyr|%|%|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|Sun|deg|deg
#--------|----------------|------|-----|----|-----|------|------|----|----|------|-----|------|-----|----|----|--|--|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-------|-------|-------|---------|---------
      33|Thick disc      | 36849|-0.77|5843| 4.40| -36.8|  70.0| -84| -46|  6.35| 0.43|  0.42|     |    |    |92|17|-0.77| 0.37| 0.58| 0.06| 0.27| 0.18| 0.15| 0.08| 0.10| 0.13| 0.08|-0.14|-0.40| 0.02|-0.04|-0.10| 0.10|-0.10|-0.12|   0.02|       |   0.39|113.64628|+16.90112
      34|Thick disc      | 37233|-0.51|5627| 4.01|  52.8|  13.0| -67|  50|  6.55| 0.30|  0.47| 9.30| 2.6| 2.1|75| 2|-0.51| 0.16| 0.42| 0.06| 0.36| 0.31| 0.20| 0.22| 0.14| 0.24| 0.17|     |-0.27| 0.10| 0.02|-0.04|-0.03|-0.11|-0.12|  -0.12|   0.04|   0.36|114.71389|-05.46557
      35|Thick disc      | 38769|-0.79|5726| 4.15|   5.6|  25.0| -65|  69|  6.63| 0.30|  0.74|12.70| 3.5| 2.8|97| 1|-0.79| 0.49| 0.68| 0.11| 0.34| 0.40| 0.20| 0.20| 0.08| 0.20| 0.06|-0.06|-0.54| 0.02| 0.01|     | 0.17|-0.05|-0.12|       |       |   0.26|119.04250|+50.54092
      36|Thick disc      | 39893|-0.84|5249| 4.69| -40.6|  66.0|-127| -55|  5.59| 0.61|  0.56|     |    |    |93| 3|-0.84| 0.68| 0.78| 0.22| 0.29| 0.33| 0.35| 0.24| 0.23| 0.15| 0.16|-0.02|-0.25| 0.16| 0.02|-0.05| 0.19|-0.16|-0.14|   0.18|   0.31|   0.53|122.22687|+24.62396
      37|Thick disc      | 40613|-0.62|5670| 4.16| 111.3| -27.0|-138| -36|  5.18| 0.65|  0.30|12.40| 2.8| 2.3|94| 1|-0.62| 0.36| 0.71| 0.15| 0.39| 0.28| 0.21| 0.15| 0.16| 0.19| 0.03|-0.03|-0.31| 0.09|-0.04|-0.04| 0.10|-0.05|-0.19|  -0.15|   0.07|   0.24|124.37228|-03.98962
      38|Thick disc      | 43393|-0.59|5256| 4.65|  33.4|  32.0|-104| -79|  5.88| 0.47|  0.93|     |    |    |95| 2|-0.59|     | 0.57| 0.07| 0.20| 0.26| 0.25| 0.11| 0.14| 0.25| 0.19|-0.01|-0.28| 0.09| 0.02| 0.02| 0.10|-0.10|-0.22|  -0.02|   0.15|   0.33|132.58750|-05.53603
      39|Thick disc      | 44075|-0.86|5783| 4.09| 149.6| -51.0|-111|  86|  6.25| 0.39|  0.87|12.80| 2.6| 2.2|92| 0|-0.86| 0.39| 0.64| 0.09| 0.27| 0.24| 0.19| 0.17| 0.12| 0.15| 0.03|-0.07|-0.35| 0.11|-0.06|-0.12| 0.10| 0.09|-0.06|   0.12|   0.14|   0.35|134.68305|-16.13273
      40|Thick disc      | 44347|-0.85|5798| 4.62| -57.4| 117.0| -64|  31|  7.34| 0.45|  0.29|     |    |    |70| 0|-0.85| 0.44| 0.68| 0.08| 0.43| 0.25| 0.30| 0.25| 0.22| 0.26| 0.11|-0.08|-0.43| 0.21| 0.05|-0.13| 0.19| 0.13| 0.10|   0.13|   0.35|   0.52|135.47898|+35.89342
      41|Thick disc      | 44860|-0.51| 554| 4.27|  65.5| -58.0| -67| -57|  6.69| 0.35|  0.57|12.60| 3.8| 2.9|92| 5|-0.51| 0.36| 0.58| 0.17| 0.37| 0.32| 0.24| 0.19| 0.11| 0.24| 0.08|     |-0.20| 0.14| 0.05| 0.09| 0.17| 0.09|-0.10|   0.08|   0.08|   0.39|137.10516|-15.14479
      42|Thick disc      | 45947|-0.46|4911| 3.29|  26.6| -16.0|-105| -60|  5.77| 0.48|  0.60| 9.51| 8.2| 4.4|97| 7|-0.46| 0.35| 0.57| 0.11| 0.25| 0.32| 0.24| 0.22| 0.15| 0.33| 0.19| 0.04|-0.21| 0.06| 0.03| 0.22| 0.13| 0.06|-0.11|  -0.04|   0.13|   0.57|140.55400|+12.54910
      43|Thick disc      | 50005|-0.53|5394| 4.64|  60.1| 101.0| -99|  41|  6.31| 0.53|  0.42|     |    |    |95| 4|-0.53|     | 0.63| 0.08| 0.30| 0.38| 0.29| 0.20| 0.23| 0.20| 0.20| 0.02|-0.22| 0.23| 0.03| 0.14| 0.05| 0.09|-0.19|       |       |   0.42|153.12447|-00.63710
      44|Thick disc      | 50671|-0.48|5878| 4.45|  82.0| -60.0| -41|  63|  7.39| 0.26|  0.69|     |    |    |90| 1|-0.48| 0.34| 0.39| 0.13| 0.13| 0.07| 0.09| 0.06|     |-0.03| 0.01|-0.02|-0.13|-0.02| 0.02| 0.05| 0.09|-0.05| 0.03|  -0.01|   0.02|   0.17|155.20826|-15.47991
      45|Thick disc      | 50965|-0.57|5715| 4.56|  19.8| -51.0| -88| -84|  6.26| 0.42|  1.02|     |    |    |96| 1|-0.57| 0.41| 0.57| 0.06| 0.26| 0.23| 0.19| 0.15| 0.25| 0.33| 0.02|-0.04|-0.22| 0.13| 0.02|     | 0.10| 0.03|-0.07|   0.02|       |   0.34|156.14868|-05.51967
      46|Thick disc      | 52673|-0.66|5541| 4.62|  74.7|  52.0| -99| -39|  5.97| 0.47|  0.35|     |    |    |92|14|-0.66|     | 0.58| 0.14| 0.27| 0.22| 0.21| 0.18| 0.20| 0.24| 0.09| 0.02|-0.20| 0.11| 0.04| 0.02| 0.23| 0.15|-0.01|   0.03|   0.19|   0.40|161.55933|-29.34043
      47|Thick disc      | 58843|-0.79|5663| 4.63|   6.8| 109.0|-122| -52|  6.01| 0.63|  0.53|     |    |    |91| 6|-0.79| 0.28|     | 0.05| 0.28| 0.22| 0.23| 0.21| 0.05| 0.22| 0.05|     |-0.33| 0.13| 0.03|-0.03| 0.09| 0.18|     |   0.08|   0.09|   0.44|181.02317|+03.34075
      48|Thick disc      | 59233|-0.83|5333| 3.71| -12.2|-181.0| -72| -37|  8.38| 0.60|  0.38|     |    |    |91|18|-0.83| 0.47| 0.60| 0.22| 0.38| 0.42| 0.15| 0.30|-0.17| 0.22| 0.28| 0.07|-0.08| 0.06|-0.01| 0.02| 0.17|-0.40|-0.25|  -0.08|   0.05|   0.12|182.22777|+21.78873
