#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
      23| 11007|5850| 4.00|-0.31| -35.1| 23.4| 46.6| 9.45| 0.477| 0.140| 0.76|Simbad| 0.08|     | 0.22| 0.06| 0.03| 0.05| 0.11| 0.02|  0.08| 0.21| 0.01| 0.00| 0.01|-0.06|-0.03|-0.16|-0.02| 0.00|-0.05| 0.08|-0.04|-0.05|-0.07|-0.02|-0.06|-0.02| 0.16|027.17318|+32.69021
      24| 11045|5703| 4.19|-0.39|  17.0|  2.8|-26.6| 8.53| 0.219| 0.050|     |Simbad| 0.30|     | 0.46|     | 0.08| 0.19| 0.25| 0.14|  0.24| 0.19| 0.09| 0.12| 0.15| 0.00|-0.03|-0.22| 0.05|-0.01| 0.01| 0.20|-0.07|-0.07|     |-0.31|-0.06|     | 0.14|027.31727|+35.44038
      25| 11592|6235| 4.22|-0.29| -68.4|-17.0|-23.0| 8.14| 0.197| 0.220| 0.62|Simbad|-0.01| 0.25| 0.24|     | 0.02| 0.03| 0.00| 0.02|  0.02| 0.32| 0.01|-0.05| 0.05| 0.02|-0.05|-0.21| 0.03|-0.06|-0.23|-0.02| 0.02|-0.05| 0.00| 0.09| 0.03|     |     |028.49034|+10.61403
      26| 14877|5971| 4.03|-0.42|  52.1|-17.3| 10.2| 7.99| 0.081| 0.180| 0.82|Simbad| 0.15|     | 0.30|     | 0.06| 0.09| 0.08| 0.06| -0.02| 0.25| 0.02|-0.14| 0.02|-0.04|-0.04|-0.16|-0.01|-0.02|-0.11| 0.01| 0.00|-0.14|-0.09|-0.19|-0.13|     |-0.03|036.16569|+22.43386
      27| 15029|6119| 3.98|-0.31| -73.2|-34.2|-55.3| 7.70| 0.573| 0.270| 0.60|Simbad|-0.10| 0.24| 0.21|     | 0.07| 0.05| 0.08| 0.03| -0.01| 0.38| 0.04|-0.12| 0.07| 0.02|-0.02|-0.18| 0.02|-0.04|-0.12| 0.07| 0.03|-0.12|-0.03|-0.04|-0.03|     |     |036.39140|+11.97123
      28| 15398|6190| 3.92|-0.01|  14.2|-41.6| 15.2| 7.14| 0.117| 0.200| 0.37|Simbad|-0.19| 0.06| 0.24|     |-0.02| 0.02| 0.11| 0.03|  0.01|     | 0.06|-0.12| 0.03| 0.00|-0.02|-0.12| 0.00|-0.02|-0.15|-0.02|     | 0.04| 0.08| 0.12| 0.04|     |-0.03|037.32298|+21.59376
      29| 16067|5912| 3.85|-0.12| -19.0|-11.6|-18.2| 8.03| 0.142| 0.080| 0.51|Simbad| 0.14|     | 0.35|-0.15| 0.04| 0.06| 0.15| 0.08|  0.14| 0.24| 0.06|-0.03|-0.01|-0.07| 0.01|-0.13|-0.03| 0.00|-0.11|-0.05| 0.06| 0.06| 0.05|-0.04|-0.09|-0.06| 0.02|039.47069|+65.31867
      30| 20427|6091| 4.00|-0.52|  46.1|-20.4|  0.2| 7.86| 0.016| 0.170| 0.71|Simbad| 0.21|     | 0.40|     | 0.12| 0.12| 0.10| 0.13|  0.05|     | 0.06|-0.06| 0.06| 0.02|-0.01|-0.24| 0.11|-0.03|-0.06| 0.08| 0.01|-0.06| 0.07|-0.08| 0.01|     |-0.09|049.63325|+38.45871
      31| 20717|6257| 4.02|-0.33|  51.5|-13.9|  4.0| 8.10| 0.031| 0.170| 0.60|Simbad| 0.06|     | 0.22|     | 0.06| 0.06| 0.02| 0.06| -0.03|     | 0.02|-0.01| 0.03| 0.01|-0.03|-0.20| 0.05|-0.04|-0.18|-0.04| 0.05|-0.04|-0.08| 0.18| 0.03|     |     |050.14045|+12.34660
      32| 21922|5943| 4.31|-0.48|  -9.6|-11.2| 20.7| 8.32| 0.188| 0.070| 0.85|Simbad| 0.27|     | 0.41|     | 0.07| 0.14| 0.16| 0.07|  0.16| 0.29|-0.02| 0.05| 0.04|-0.03|-0.07|-0.18|-0.02|-0.02|-0.03| 0.19| 0.25| 0.23| 0.18| 0.33| 0.34| 0.17|     |054.10857|+67.95219
