#recno|HD|Teff|logg|[Fe/H]|UVel|VVel|WVel|Rm|Zmax|ecc|logt9|Simbad|[C/Fe]|[N/Fe]|[O/Fe]|[O/Fe]n|[Na/Fe]|[Mg/Fe]|[Al/Fe]|[Si/Fe]|[S/Fe]|[K/Fe]|[Ca/Fe]|[Sc/Fe]|[Ti/Fe]|[V/Fe]|[Cr/Fe]|[Mn/Fe]|[Co/Fe]|[Ni/Fe]|[Cu/Fe]|[Zn/Fe]|[Sr/Fe]|[Yr/Fe]|[Ba/Fe]|[Zr/Fe]|[Ce/Fe]|[Nd/Fe]|[Eu/Fe]|_RA|_DE
# | |K|[cm/s2]|[Sun]|km/s|km/s|km/s|kpc|kpc| |[Gyr]| |[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|[Sun]|deg|deg
#--------|------|----|-----|-----|------|-----|-----|-----|------|------|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|------|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|---------|---------
     122|174160|6196| 4.34|-0.09| -11.8|  8.7|  4.4| 8.72| 0.034| 0.040| 0.10|Simbad| 0.11| 0.17| 0.21|-0.12| 0.06| 0.06| 0.04| 0.03|  0.03| 0.26| 0.03| 0.04|-0.02| 0.01| 0.07|-0.15|-0.09|-0.04|-0.17|-0.06| 0.10| 0.05| 0.08| 0.06| 0.03| 0.00|     |282.06834|+23.51475
     123|176796|5974| 3.79|-0.44| -63.2| 10.9|  5.1| 9.08| 0.043| 0.200| 0.52|Simbad| 0.22|     | 0.44|     | 0.14| 0.10| 0.14| 0.12|  0.19| 0.39| 0.07| 0.05| 0.06| 0.09| 0.02|-0.18| 0.00| 0.00|-0.08| 0.07| 0.10| 0.05| 0.02| 0.04| 0.04| 0.06|     |284.34801|+64.83061
     124|182758|5894| 4.13|-0.53| -26.8|  5.3|-27.6| 8.65| 0.233| 0.080| 1.08|Simbad| 0.15|     | 0.39|     | 0.03| 0.12| 0.17| 0.04|  0.13| 0.30| 0.00| 0.05| 0.07|-0.04|-0.07|-0.21|-0.02|-0.03|-0.06| 0.18|-0.05|-0.15|-0.15|-0.13|-0.08|-0.05|     |291.23393|+31.80119
     125|186379|5806| 3.99|-0.39| -42.2|-21.5|-38.0| 7.83| 0.336| 0.160| 0.77|Simbad| 0.12|     | 0.28| 0.19| 0.01| 0.08| 0.14| 0.06|  0.13| 0.22| 0.01| 0.01| 0.05|-0.01|-0.02|-0.18|-0.01|-0.03|-0.06| 0.05|-0.12|-0.13|-0.10|-0.20|-0.11| 0.01| 0.22|295.77929|+24.59794
     126|186408|5670| 4.32| 0.00| -28.0|-24.9|  7.0| 7.64| 0.053| 0.150| 0.82|Simbad| 0.18|     | 0.21| 0.03| 0.00| 0.01| 0.08| 0.06|  0.21|-0.02|-0.01| 0.15|-0.04|-0.09|-0.05|-0.07|-0.01| 0.02| 0.00| 0.06|-0.09| 0.08| 0.03| 0.04| 0.06| 0.14|     |295.45397|+50.52506
     127|190681|6105| 3.95|-0.08| -38.5|-21.2|  3.7| 7.79| 0.028| 0.160| 0.46|Simbad| 0.12|     | 0.25|     | 0.09|-0.02| 0.03| 0.06|  0.12|     | 0.05|-0.04|-0.05|-0.04|-0.03|-0.14|-0.03|-0.04|-0.07| 0.04|     | 0.03| 0.01|-0.01|-0.09|-0.18|     |301.55176|-01.71891
     128|191649|5911| 4.23|-0.26|  11.5| -1.3|  3.2| 8.36| 0.024| 0.040| 0.81|Simbad| 0.22|     | 0.32|     | 0.02| 0.01|-0.05| 0.08|  0.20| 0.25| 0.03|-0.02|-0.01|-0.07|-0.03|-0.15|-0.06|-0.03|-0.13| 0.00| 0.01|-0.02| 0.06|-0.06| 0.03| 0.23|     |302.17880|+50.58632
     129|191672|5963| 4.10|-0.46|  17.1|-18.0|  2.6| 7.82| 0.019| 0.100| 0.89|Simbad| 0.15|     | 0.30| 0.18| 0.07| 0.09| 0.11| 0.08|  0.09| 0.34| 0.08| 0.04| 0.06| 0.03| 0.02|-0.16|-0.01|-0.01|-0.06| 0.04|-0.06|-0.04|-0.14|-0.17|-0.17|     |     |302.58896|+21.23941
     130|192145|5964| 3.89|-0.35|  -4.6|-19.4| 19.9| 7.76| 0.155| 0.090| 0.57|Simbad| 0.14|     | 0.31|     | 0.13| 0.09| 0.09| 0.07|  0.16| 0.33| 0.03| 0.02| 0.00|-0.02|-0.01|-0.14| 0.01| 0.00|-0.04| 0.08| 0.02|-0.03|-0.14|-0.04|-0.02|-0.19|     |303.21211|+16.09546
     131|193664|5782| 4.44|-0.19|  30.6| -0.3|-14.5| 8.45| 0.115| 0.090| 0.85|Simbad| 0.13|     | 0.17| 0.10|-0.05| 0.00| 0.01| 0.02|  0.18| 0.06|-0.02| 0.02|-0.03|-0.10|-0.02|-0.11|-0.08|-0.04|-0.11| 0.04| 0.01| 0.10| 0.08| 0.06| 0.16| 0.16|     |304.38053|+66.85369
     132|194497|6327| 3.91|-0.29|  34.4|-24.2| 14.2| 7.69| 0.111| 0.160| 0.43|Simbad|-0.04|-0.02| 0.22|     | 0.03|-0.01|-0.01| 0.03|  0.00| 0.46| 0.04| 0.05| 0.07| 0.00| 0.01|-0.18|-0.03|-0.05|-0.09|-0.02| 0.15| 0.07|-0.12| 0.17| 0.12| 0.12|     |306.50929|-03.86473
     133|195200|6031| 4.21|-0.20|  -8.6|-19.6| -3.0| 7.75| 0.022| 0.100| 0.72|Simbad| 0.16| 0.03| 0.25|     | 0.01|-0.01| 0.06| 0.01|  0.11| 0.17|-0.02|-0.03|-0.04|-0.06|-0.03|-0.12|-0.06|-0.05|-0.09| 0.02| 0.03| 0.04|-0.01| 0.05| 0.01|-0.02|     |307.50676|-04.43765
     134|198089|5770| 4.35|-0.30|  13.3|-17.2| 18.1| 7.84| 0.141| 0.090| 0.85|Simbad| 0.19|     | 0.30|     | 0.02| 0.07| 0.10| 0.06|  0.19| 0.10| 0.00| 0.11| 0.02|-0.01|-0.06|-0.13| 0.00|-0.02|-0.03| 0.10|-0.15|-0.03|-0.04|-0.04|-0.03| 0.07| 0.24|311.90780|+12.98625
     135|198109|6095| 4.21|-0.44|  -5.0| 22.7|-29.6| 9.29| 0.262| 0.080| 0.83|Simbad| 0.19|     | 0.29|     | 0.06| 0.07| 0.06| 0.03|  0.04| 0.33| 0.03| 0.02| 0.06| 0.02|-0.06|-0.17|-0.02|-0.05|-0.13| 0.00|-0.09|-0.06|-0.06|-0.11|-0.03| 0.01|     |311.91002|+16.23844
     136|198390|6337| 4.31|-0.32|   0.8| 17.4|  7.2| 9.05| 0.057| 0.060| 0.53|Simbad| 0.09|     | 0.34|     | 0.03| 0.05| 0.01| 0.02|  0.05| 0.37| 0.08|-0.01| 0.00| 0.15|-0.05|-0.20|-0.09|-0.05|-0.20| 0.04| 0.12| 0.10|     | 0.21| 0.14|     |     |312.40737|+12.54513
     137|199085|6391| 4.31|-0.11|   8.6|-16.4| 15.2| 7.86| 0.117| 0.090| 0.35|Simbad| 0.04|     | 0.14|     |-0.01|-0.04|-0.01| 0.01| -0.08| 0.36| 0.04| 0.01|-0.03| 0.15| 0.00|-0.10|-0.14|-0.06|-0.12| 0.00|     | 0.13|-0.03| 0.19| 0.09|     |     |313.72565|-01.37576
     138|200580|5853| 4.05|-0.54|-106.0|-69.6| 16.4| 7.06| 0.139| 0.440| 0.98|Simbad| 0.07|     | 0.17|     | 0.18| 0.06| 0.17| 0.01|      | 0.26| 0.09|-0.13| 0.15| 0.18| 0.04|-0.06| 0.00|-0.01|-0.09|-0.01| 0.03|-0.23|     |-0.17|-0.12|-0.09|     |316.03079|+02.99448
     139|201444|5926| 3.83|-0.63|  27.9|  2.2| 16.5| 8.53| 0.132| 0.080| 0.64|Simbad| 0.30|     | 0.53|     | 0.14| 0.12| 0.16| 0.13|  0.16| 0.45| 0.06| 0.08| 0.07|-0.04|-0.05|-0.23| 0.02|-0.03|-0.09| 0.07|     | 0.04| 0.00| 0.12| 0.12| 0.13| 0.29|317.09148|+39.67139
     140|201490|6006| 4.06|-0.23|  22.5|  3.0|-20.3| 8.54| 0.164| 0.070| 0.67|Simbad| 0.06| 0.28| 0.19|-0.02| 0.03| 0.04| 0.07| 0.03|  0.02| 0.26| 0.03|-0.11| 0.01|-0.01|-0.04|-0.14|-0.04|-0.01|-0.10|-0.03|-0.01|-0.10|-0.01|-0.10|-0.19|     | 0.04|317.29446|+30.37645
     141|201639|6071| 4.18|-0.54| -27.0| 43.1| 32.4|10.30| 0.324| 0.190| 0.92|Simbad| 0.25|     | 0.22|     | 0.09| 0.09| 0.07| 0.09|  0.14| 0.28| 0.07| 0.06| 0.04|-0.01|-0.02|-0.15|-0.02|-0.01|-0.08| 0.07| 0.02| 0.01|-0.06| 0.05| 0.07|     | 0.24|317.55938|+20.74363
     142|201835|6172| 4.11|-0.39|  27.7| 46.3| -6.3|10.40| 0.057| 0.200| 0.67|Simbad| 0.12|     | 0.35|     | 0.07| 0.13| 0.13| 0.11|  0.03|     | 0.14| 0.10| 0.10| 0.12| 0.04|-0.17| 0.06| 0.01|-0.12|-0.01|     | 0.03|     | 0.14| 0.11|     |     |317.57841|+52.43068
     143|202884|6141| 4.36|-0.24|   5.4| -1.4|-16.9| 8.35| 0.130| 0.020| 0.65|Simbad| 0.09|     | 0.21|     |-0.01| 0.04| 0.04| 0.02|  0.05| 0.20| 0.01| 0.01| 0.02|-0.02|-0.04|-0.20|-0.01|-0.05|-0.19| 0.00| 0.06| 0.08|-0.04| 0.18| 0.05| 0.13| 0.24|319.65490|+08.95966
     144|204306|5892| 4.09|-0.66| -14.9| 28.1|-11.9| 9.52| 0.100| 0.110|     |Simbad| 0.30|     | 0.53|     | 0.10| 0.14| 0.17| 0.14|  0.27| 0.29| 0.10| 0.12| 0.07|-0.01|-0.01|-0.20| 0.07| 0.00|-0.09| 0.13|-0.05|-0.03|-0.10|-0.04|-0.15| 0.03|     |321.60731|+43.11940
     145|204559|6028| 4.23|-0.36|  24.3|-13.5| 17.2| 7.98| 0.135| 0.100| 0.79|Simbad| 0.15| 0.41| 0.32| 0.17| 0.06| 0.06| 0.08| 0.04|  0.07| 0.30| 0.03| 0.02| 0.04|-0.04|-0.03|-0.13|-0.06|-0.02|-0.10| 0.05|-0.05|-0.02| 0.02| 0.06| 0.03|     |     |322.18104|+26.56979
     146|204712|5888| 4.12|-0.48| -46.5|-38.7| 17.5| 7.33| 0.139| 0.230| 0.97|Simbad| 0.26|     | 0.44|     | 0.08| 0.11| 0.09| 0.10|  0.18| 0.32| 0.07| 0.14| 0.07|-0.06|-0.04|-0.19| 0.03|-0.01|-0.04| 0.14|-0.05| 0.02| 0.00|-0.01|-0.08| 0.08| 0.18|322.53518|+12.27069
     147|206860|5820| 4.48|-0.12|   4.6|-16.1| -3.8| 7.86| 0.028| 0.080| 0.35|Simbad| 0.11| 0.20| 0.22|     | 0.00|-0.11|-0.01| 0.02|  0.18| 0.12|-0.01|-0.03|-0.02|-0.11| 0.00|-0.14|-0.18|-0.04|-0.18| 0.07| 0.09| 0.18| 0.07| 0.29| 0.18|     | 0.12|326.13054|+14.77194
     148|209320|5994| 4.14|-0.18|   7.6|-39.4| 28.4| 7.20| 0.230| 0.180| 0.72|Simbad| 0.20|     | 0.34|     | 0.05| 0.08| 0.10| 0.08|  0.21|     | 0.05|-0.04|-0.06| 0.02| 0.03|-0.09|-0.05| 0.00|-0.07|-0.02| 0.02| 0.01| 0.05|-0.02|-0.03|-0.06|     |330.50598|+23.49557
     149|209858|5911| 4.26|-0.27| -32.5|-16.0|-34.4| 7.95| 0.295| 0.130| 0.80|Simbad| 0.20|     | 0.27|     | 0.05| 0.00| 0.04| 0.04|  0.17| 0.15| 0.01| 0.04| 0.01|-0.05|-0.03|-0.13|-0.04|-0.03|-0.03| 0.05|-0.08|-0.02|-0.01|-0.03|-0.02| 0.06| 0.16|331.47521|+27.96704
     150|210457|6152| 4.02|-0.27|  -3.4|-11.1|  1.4| 8.02| 0.010| 0.060| 0.54|Simbad| 0.11|     | 0.31| 0.01| 0.09| 0.03| 0.03| 0.05|  0.12| 0.34| 0.00|-0.04| 0.00|-0.06|-0.01|-0.18|-0.04|-0.04|-0.17| 0.00| 0.09| 0.05| 0.03| 0.14|-0.11| 0.01| 0.09|332.36778|+46.92081
     151|210640|6218| 3.96|-0.36|   7.7|  0.9|-19.3| 8.44| 0.151| 0.030| 0.57|Simbad| 0.08|     | 0.37|     | 0.05| 0.03| 0.03| 0.08|  0.07| 0.33| 0.08|-0.13| 0.04| 0.01|-0.02|-0.07|-0.04|-0.04|-0.17| 0.03|     | 0.01|     | 0.05| 0.09|     |     |332.23226|+70.24020
     152|210718|6025| 3.81|-0.34|  14.9| -2.5| 22.0| 8.33| 0.175| 0.050| 0.45|Simbad| 0.04|     | 0.18|     | 0.08| 0.08| 0.13| 0.07|  0.05| 0.33| 0.06|-0.09| 0.03|-0.03|-0.03|-0.15|-0.06|-0.03|-0.09| 0.03|     |-0.14|-0.24|-0.15|-0.27|     |     |333.05575|+08.46061
     153|210923|6019| 3.96|-0.21|   5.0|  5.2| 23.6| 8.59| 0.189| 0.020| 0.55|Simbad| 0.14|     | 0.33|-0.01| 0.06| 0.05| 0.07| 0.04|  0.12| 0.29| 0.02| 0.03|-0.01|-0.01|-0.03|-0.12|-0.06|-0.03|-0.05| 0.04| 0.05| 0.10| 0.03| 0.11|-0.02| 0.10| 0.02|333.26351|+33.60335
     154|210985|6058| 4.07|-0.57| -26.4|-20.6|  8.6| 7.76| 0.065| 0.130| 0.87|Simbad| 0.08|     | 0.36|     | 0.20| 0.08| 0.17| 0.11|  0.11| 0.32| 0.14|-0.04| 0.08|     |-0.01|-0.20| 0.01|-0.02|-0.08| 0.00|     |-0.02|     |-0.09| 0.09|     |     |333.51127|+05.77477
     155|212858|5856| 4.25|-0.39|  56.9| 34.6|-12.7|10.10| 0.116| 0.220| 0.85|Simbad| 0.18|     | 0.29|     | 0.02| 0.04| 0.09| 0.00|  0.05| 0.17|-0.01|-0.01|-0.02|-0.09|-0.04|-0.16|-0.08|-0.04|-0.12| 0.07|-0.03|-0.05|-0.09|-0.06| 0.00| 0.04| 0.10|336.68061|+36.76991
     156|214111|5994| 3.56|-0.14|  52.8| -5.3|  2.4| 8.39| 0.019| 0.170| 0.23|Simbad| 0.17|     | 0.34|     | 0.16| 0.01|     | 0.09|  0.14| 0.38| 0.05|-0.19|     | 0.16| 0.10|-0.10| 0.02| 0.01|     |-0.10|     |     |     |-0.10|-0.23|     | 0.09|338.62855|+63.81978
     157|214435|5908| 4.30|-0.31| -20.6|-27.8|-11.8| 7.53| 0.090| 0.150| 0.87|Simbad| 0.15|     | 0.24|     | 0.02| 0.04| 0.04| 0.03|  0.11| 0.12|-0.01|-0.01|-0.03|-0.05|-0.02|-0.15|-0.05|-0.03|-0.11| 0.07| 0.02| 0.03|-0.07| 0.04| 0.09| 0.03|-0.06|339.46808|+14.98647
     158|214557|5879| 4.08|-0.05| -58.7|-29.4| -9.2| 7.67| 0.073| 0.230| 0.71|Simbad| 0.18| 0.37| 0.26|     | 0.04| 0.07| 0.12| 0.07|  0.20| 0.10|-0.05| 0.10|-0.04|-0.07|-0.01|-0.13|-0.03|-0.01|-0.05| 0.04| 0.00| 0.08| 0.05|-0.06|-0.06|     | 0.25|339.54846|+45.82780
     159|214576|6300| 3.95|-0.55| -27.7| 27.5| -3.8| 9.53| 0.031| 0.130| 0.35|Simbad| 0.13|     | 0.37|     | 0.08| 0.09| 0.01| 0.11|  0.06|     | 0.11| 0.01| 0.07| 0.03| 0.00|-0.19|-0.06|-0.01|-0.20| 0.03| 0.09|-0.02|-0.03| 0.09| 0.08|     |     |339.65894|+33.54492
     160|215442|5872| 3.80|-0.22|  43.8|-15.0| 10.0| 8.01| 0.078| 0.150| 0.16|Simbad| 0.30|     | 0.50|     | 0.08| 0.08|-0.03| 0.11|  0.26|     | 0.04|-0.10|-0.04|-0.10| 0.01|     |-0.03|-0.01|-0.11| 0.00| 0.00| 0.00| 0.02|-0.02|-0.02|     | 0.03|341.08129|+51.44960
     161|216106|5890| 3.74|-0.33| -47.2|-35.3|-24.9| 7.43| 0.205| 0.220| 0.46|Simbad| 0.28|     | 0.43|     | 0.10| 0.12| 0.10| 0.09|  0.22| 0.38| 0.07| 0.01| 0.02|-0.09|-0.03|-0.17|-0.04|-0.02|-0.11| 0.08| 0.06| 0.09|-0.03| 0.22|-0.07| 0.02| 0.02|342.32319|+50.97671
     162|216385|6240| 3.77|-0.16|  48.1| -1.6|-26.8| 8.51| 0.231| 0.150| 0.31|Simbad|-0.04|-0.02| 0.18|     | 0.02| 0.07| 0.03| 0.01| -0.06| 0.40|-0.01|-0.07| 0.02| 0.01| 0.00|-0.15|-0.07|-0.04|-0.16|-0.05| 0.04|-0.11|-0.08| 0.04|-0.14|-0.02|-0.02|343.10031|+09.83566
     163|216631|5985| 4.44|-0.39| -50.9|-36.2|-11.4| 7.42| 0.089| 0.230| 0.65|Simbad| 0.13|     | 0.25|     | 0.02|-0.03| 0.07|-0.02|  0.06| 0.16| 0.00| 0.02| 0.02|-0.03|-0.08|-0.21|-0.11|-0.07|-0.16| 0.02|-0.03| 0.02|-0.09|-0.01|-0.03|     |     |343.50850|+34.19871
     164|217877|5872| 4.28|-0.18|  35.2|-11.7|  1.3| 8.08| 0.010| 0.120| 0.83|Simbad| 0.13| 0.30| 0.22|-0.02| 0.06| 0.05| 0.09| 0.04|  0.16| 0.17| 0.04| 0.08|-0.02|-0.06|-0.03|-0.05|-0.02|-0.01|-0.03| 0.08|-0.03| 0.01|-0.02|-0.03|-0.04| 0.09| 0.01|345.98864|-04.79486
     165|218059|6253| 4.27|-0.27|   2.0|-33.0|-20.1| 7.36| 0.157| 0.150| 0.49|Simbad| 0.03|     | 0.25|     |-0.03| 0.06| 0.00| 0.03|  0.05| 0.26| 0.03|-0.06|-0.01|-0.01| 0.00|-0.15|-0.06|-0.06|-0.20| 0.02| 0.06|-0.02|-0.02| 0.10| 0.06|     |     |346.25067|+04.22540
     166|218172|5958| 3.84|-0.21|  -4.1| 13.2|  7.3| 8.88| 0.057| 0.045| 0.47|Simbad| 0.12| 0.08| 0.28| 0.00| 0.03| 0.00| 0.07| 0.06|  0.13| 0.40| 0.04| 0.04| 0.05|-0.03|-0.01|-0.10|-0.05|-0.04|-0.11| 0.02| 0.08| 0.09| 0.08| 0.08|-0.06| 0.10| 0.11|346.39720|+20.24093
     167|218470|6476| 4.07|-0.06|  19.6| -4.0| 17.4| 8.28| 0.137| 0.067| 0.34|Simbad|-0.01|     | 0.29|     | 0.08| 0.03|     |-0.01|  0.01| 0.33| 0.00|-0.15|-0.03| 0.19|     |-0.16|     |-0.01|-0.21|-0.11|     | 0.04|     | 0.17|-0.04|     |     |346.93910|+49.29578
     168|218637|5981| 3.99|-0.30|  30.6|-52.6| 11.4| 6.89| 0.087| 0.260| 0.66|Simbad| 0.03|     | 0.17|     | 0.10| 0.16| 0.12| 0.08|  0.01| 0.36| 0.09|-0.01| 0.05| 0.05|-0.02|-0.09| 0.03| 0.02| 0.02|-0.04| 0.05|-0.10|     |-0.14|-0.01|-0.06|     |347.39622|+01.92620
     169|219306|5962| 4.06|-0.31|  -6.0|  9.2|-24.0| 8.74| 0.195| 0.030| 0.76|Simbad| 0.15|     | 0.30|     | 0.05| 0.10| 0.07| 0.06|  0.13| 0.28| 0.01| 0.04| 0.03|-0.05|-0.05|-0.18| 0.00| 0.00|-0.04| 0.05| 0.02|-0.01|-0.04| 0.03|-0.11|-0.01|-0.04|348.60835|+43.69809
     170|219476|5879| 3.75|-0.54|  54.2| -3.4| -5.9| 8.47| 0.047| 0.170| 0.60|Simbad| 0.15|     | 0.37|     | 0.12| 0.12| 0.08| 0.08|  0.10| 0.43| 0.05| 0.04| 0.10|-0.03|-0.02|-0.21| 0.00|-0.03|-0.08| 0.06|-0.02|-0.08|-0.08| 0.06|-0.15|-0.02| 0.10|348.92361|+31.67560
     171|219497|5871| 3.92|-0.51| -10.9| 31.3| -4.6| 9.65| 0.038| 0.120| 0.71|Simbad| 0.32|     | 0.44|     | 0.17| 0.09| 0.13| 0.09|  0.31|     | 0.08| 0.08| 0.03|-0.08|-0.04|     | 0.04|-0.05|-0.11| 0.15| 0.06| 0.07| 0.08| 0.04| 0.02| 0.07|     |348.97422|+34.68792
     172|219983|6102| 3.93|-0.20|  36.0|-42.3|-16.6| 7.18| 0.130| 0.220| 0.52|Simbad| 0.02| 0.14| 0.22|-0.02| 0.02| 0.02| 0.08| 0.03|  0.02| 0.37| 0.06|-0.02| 0.04| 0.00|-0.02|-0.13|-0.05|-0.01|-0.12|-0.05| 0.07|-0.02| 0.00| 0.00|-0.08| 0.13|-0.02|350.06604|-03.91914
     173|220842|5761| 4.17|-0.31| -27.0| -7.5| 54.5| 8.25| 0.532| 0.090|     |Simbad| 0.39|     | 0.40| 0.12| 0.02| 0.08| 0.06| 0.07|  0.25| 0.15| 0.01| 0.06|-0.03|-0.10|-0.02|-0.14|-0.03|-0.03| 0.01| 0.16| 0.27| 0.35| 0.27| 0.09| 0.05| 0.12| 0.17|351.65411|+56.88653
     174|220908|5991| 3.94|-0.16|  16.5|-18.9|  6.4| 7.79| 0.048| 0.110| 0.54|Simbad| 0.07|     | 0.31|-0.09| 0.07| 0.04| 0.10| 0.06|  0.15| 0.32| 0.06|-0.02| 0.02| 0.00|-0.01|-0.12|-0.04| 0.00|-0.11| 0.00| 0.04| 0.02| 0.04| 0.03|-0.06|     |     |351.79180|+54.86625
     175|221356|6005| 4.42|-0.24|  -0.9|-28.3|  2.0| 7.49| 0.015| 0.130| 0.65|Simbad|-0.03|     | 0.09|     |-0.06| 0.01| 0.05|-0.01| -0.02| 0.13| 0.06|-0.05| 0.05|-0.02|-0.03|-0.21|-0.04|-0.05|-0.16|-0.06| 0.05| 0.09| 0.08| 0.08| 0.12|     |     |352.88126|-04.08741
     176|222155|5561| 3.94|-0.29|   6.1|-55.9|-23.4| 6.77| 0.185| 0.260| 0.91|Simbad| 0.49|     | 0.38|     | 0.04| 0.11| 0.18| 0.11|  0.27| 0.10| 0.01| 0.13| 0.00|-0.07|-0.02|-0.12| 0.02| 0.00|-0.02| 0.19| 0.11| 0.22| 0.22| 0.16| 0.08| 0.21| 0.25|354.50128|+48.99652
     177|223436|6158| 4.05|-0.04| -64.6|  2.8|-11.0| 8.78| 0.092| 0.200| 0.49|Simbad| 0.12| 0.20| 0.25|     | 0.05| 0.05| 0.06| 0.07| -0.04| 0.26| 0.04|-0.02| 0.01| 0.01| 0.02|-0.08|-0.05|-0.02|-0.05|-0.01| 0.08| 0.03| 0.07| 0.00|-0.03| 0.03| 0.11|357.33872|+23.87434
     178|223583|5881| 4.08|-0.48|  45.8|-34.2|  0.0| 7.45| 0.170| 0.210| 0.94|Simbad| 0.23|     | 0.34| 0.16| 0.07| 0.11| 0.08| 0.07|  0.14| 0.35| 0.04| 0.00| 0.06| 0.01| 0.00|-0.17|-0.02|-0.01|-0.04| 0.09|-0.09|-0.14|-0.15|-0.15|-0.08| 0.01|-0.05|357.68403|+41.82773
     179|223854|5987| 3.84|-0.58|  15.9| 24.5| -2.0| 9.36| 0.016| 0.100| 0.62|Simbad| 0.12|     | 0.34|     | 0.07| 0.10| 0.11| 0.11|  0.02|     | 0.13| 0.07| 0.14| 0.01| 0.00|-0.19| 0.06| 0.01|-0.09| 0.05| 0.02|-0.06|-0.15|-0.06| 0.00|     |     |358.27872|+02.33111
     180|224233|5609| 4.17|-0.24|  46.1|-15.4| 62.5| 8.10| 0.662| 0.160|     |Simbad| 0.29| 0.35| 0.31| 0.31| 0.00| 0.09| 0.21| 0.12|  0.25| 0.11| 0.02| 0.14| 0.05|-0.05|-0.03|-0.14| 0.00| 0.01| 0.01| 0.16|-0.13| 0.02| 0.02|-0.05| 0.08| 0.40| 0.21|359.04765|+59.76761
     181|225239|5557| 3.85|-0.53| 114.8|-46.1| -3.8| 7.79| 0.032| 0.400| 1.01|Simbad| 0.34|     | 0.43|     | 0.09| 0.11| 0.18| 0.09|  0.30| 0.22| 0.05| 0.09| 0.05|-0.02|-0.01|-0.14| 0.01|-0.01|-0.01| 0.12|-0.09|-0.05|     |-0.10|-0.01| 0.07| 0.14|001.22400|+34.65980

