# Rest wavelength;Transition; Element; Excitation Potential; Oscillator Strength; Vanderwaal Broadening; Measured Wavelength; Measured FWHM; Measured Trough; Measured Equivalent Width; Measured chi-sq; Measured Line Velocity; Detection Sigma; Abundance; Delta Abundance; Reduced Equivalent Width; Acceptable; Uncertain
6301.5; 26.0; Fe I; 3.65; -0.766; 0.0; 6301.48465357; 0.12398727146; 0.667506301465; 103.224272837; 10232.389965; -0.73010484314; 6.1550953259; 6.3; 0.01; -4.79; True; False
6312.24; 22.0; Ti I; 1.46; -1.496; 0.0; 6312.22793871; 0.103806254834; 0.92557059359; 18.885020577; 6594.20893575; -0.572838064355; 1.08237314246; 4.01; 0.055; -5.52; True; False
6318.72; 12.0; Mg I; 5.11; -1.97; 0.0; 6318.68445142; 0.120808615268; 0.911558541175; 26.5659222421; 11114.2522899; -1.68661607413; 1.46970095834; 6.74; 0.005; -5.38; True; False
6319.24; 12.0; Mg I; 5.11; -2.22; 0.0; 6319.24800971; 0.126157394749; 0.941168286645; 18.0660893448; 42104.4369309; 0.379989837777; 1.01789278548; 6.78; 0.045; -5.54; True; False
6322.69; 26.0; Fe I; 2.59; -2.426; 0.0; 6322.66591839; 0.120975013993; 0.70551217114; 88.5959635617; 19002.3697974; -1.14184207289; 4.85353019717; 6.3; 0.01; -4.85; True; False
6336.1; 22.0; Ti I; 1.44; -1.687; 0.0; 6336.08124049; 0.112932080734; 0.954836316599; 13.2156511725; 14692.3761798; -0.887608476891; 1.45944477781; 3.99; 0.035; -5.68; True; False
6336.82; 26.0; Fe I; 3.68; -0.916; 0.0; 6336.80366748; 0.121626281445; 0.693435232252; 93.9656940221; 29841.1059687; -0.772687186867; 10.0220004872; 6.27; -0.02; -4.83; True; False
6353.84; 26.0; Fe I; 0.91; -6.477; 0.0; 6353.75082764; 0.0939314481526; 0.981846296412; 3.81478129627; 12474.0625457; -4.20746743952; 0.446036150003; 0.0; nan; -6.22156662975; False; False
6355.03; 26.0; Fe I; 2.84; -2.403; 0.0; 6355.01989307; 0.12629671371; 0.735973554936; 82.9064675305; 30600.9052455; -0.476785628126; 9.84035314563; 6.47; 0.18; -4.88; True; False
6363.78; 8.0; O I; 0.02; -10.185; 0.0; 6363.76436504; 0.114803967649; 0.958633857676; 10.6181831611; 133740.030275; -0.736551879218; 1.24938820334; 7.88; -0.05; -5.78; True; False
6369.46; 26.1; Fe II; 2.89; -4.25; 0.0; 6369.43154167; 0.125453196368; 0.946705851396; 16.7559566851; 57975.5676866; -1.33945917327; 1.8795873565; 6.36; 0.08; -5.58; True; False
6390.48; 57.1; La II; 0.32; -1.41; 0.0; 6390.46363484; 0.119550949581; 0.951417193866; 14.0941015273; 162700.885869; -0.767730151448; 0.653407423562; nan; nan; -5.65649608437; True; False
6411.65; 26.0; Fe I; 3.65; -0.734; 0.0; 6411.63316701; 0.125703017377; 0.653497135167; 109.59763196; 24817.7625929; -0.787069711526; 6.44698555248; 6.34; 0.05; -4.77; True; False
6416.92; 26.1; Fe II; 3.89; -2.74; 0.0; 6416.90639906; 0.127558244498; 0.911670234423; 28.5949882953; 37993.336985; -0.635424513024; 1.72303717085; 6.35; 0.07; -5.35; True; False
6432.68; 26.1; Fe II; 2.89; -3.708; 0.0; 6432.66094199; 0.120215231545; 0.866045538343; 40.4261286514; 26570.6656982; -0.888193373782; 2.40017837761; 6.4; 0.12; -5.2; True; False
6455.03; 27.0; Co I; 3.63; -0.25; 0.0; 6454.97988013; 0.0997285985571; 0.96148208469; 9.02414014262; 91485.6628544; -2.32774679304; 1.01439523206; 3.59; -0.16; -5.86; True; False
6455.6; 20.0; Ca I; 2.52; -1.29; 0.0; 6455.58392218; 0.118779330347; 0.812660942587; 55.0433197189; 46046.1717596; -0.746641921441; 6.17097388943; 5.33; -0.125; -5.07; True; False
6456.38; 26.1; Fe II; 3.9; -2.075; 0.0; 6456.36578613; 0.124910524047; 0.82429314147; 54.1763929744; 28450.4113737; -0.660001366564; 5.61080488909; 6.27; -0.01; -5.08; True; False
6469.19; 26.0; Fe I; 4.84; -0.77; 0.0; 6469.11954784; 0.132948194639; 0.841147428647; 48.8871957659; 84975.7139679; -3.26489977511; 4.71529534155; 6.71; 0.42; -5.12; True; False
6574.23; 26.0; Fe I; 0.99; -5.004; 0.0; 6574.20602966; 0.125493085543; 0.800846230529; 63.6849493767; 13163.2997736; -1.09307913682; 7.05965261083; 6.34; 0.05; -5.01; True; False
6575.02; 26.0; Fe I; 2.59; -2.727; 0.0; 6575.00259408; 0.125819198657; 0.757537115103; 77.1283097474; 17635.0356532; -0.793636920348; 8.53805506437; 6.36; 0.07; -4.93; True; False
6581.21; 26.0; Fe I; 1.5; -4.705; 0.0; 6581.18101415; 0.130011222758; 0.877152054016; 39.7972190114; 55949.0514564; -1.32039216267; 4.33873775472; 6.32; 0.03; -5.22; True; False
6609.11; 26.0; Fe I; 2.56; -2.692; 0.0; 6609.09186247; 0.126229427263; 0.748141261213; 79.8447142291; 28720.6020366; -0.822729355225; 9.78824938429; 6.33; 0.04; -4.92; True; False
6632.45; 27.0; Co I; 2.28; -2.0; 0.0; 6632.41503274; 0.117500460469; 0.96312811209; 10.7619703982; 49169.6264506; -1.58055842218; 1.26883887051; 3.75; 0.0; -5.79; True; False
6635.12; 28.0; Ni I; 4.42; -0.828; 0.0; 6635.09548034; 0.124460178664; 0.965368210981; 10.4374471098; 166541.486123; -1.1078679862; 0.480821413408; 5.07; 0.12; -5.8; True; False
6645.11; 63.1; Eu II; 1.38; 0.204; 0.0; 6645.08929948; 0.129059226019; 0.921809261798; 25.2626546213; 105266.199512; -0.933901816072; 1.32589046429; nan; nan; -5.42002318979; True; False
6648.08; 26.0; Fe I; 1.01; -5.918; 0.0; 6648.05106459; 0.125401017419; 0.947699551675; 16.676510324; 51867.9968456; -1.30483600729; 0.904381731646; 6.4; 0.11; -5.6; True; False
6696.02; 13.0; Al I; 3.14; -1.34; 0.0; 6696.03916061; 0.194438086268; 0.952044345602; 23.3538363387; 193085.995385; 0.857851215471; 1.27194631499; 5.34; 0.215; -5.46; True; False
6698.67; 13.0; Al I; 3.14; -1.64; 0.0; 6698.64892624; 0.1218517508; 0.976400242365; 6.97241487294; 386497.616854; -0.943138560994; 0.762691493034; 5.04; -0.085; -5.98; True; False
6699.16; 26.0; Fe I; 4.59; -2.17; 0.0; 6699.1303716; 0.0766899932753; 0.989830241792; 1.73686855267; 319898.222125; -1.32589891337; 0.190445041397; 0.0; nan; -6.58625339842; False; False
6739.52; 26.0; Fe I; 1.56; -4.82; 0.0; 6739.51093754; 0.11685790934; 0.921535043; 23.9141420888; 23383.7383601; -0.403123611452; 2.94795615812; 6.18; -0.11; -5.45; True; False
6750.15; 26.0; Fe I; 2.42; -2.621; 0.0; 6750.13957855; 0.1261224859; 0.710274006982; 91.5350987765; 47283.5556301; -0.462845589078; 10.3387506884; 6.28; -0.01; -4.87; True; False
6756.56; 26.0; Fe I; 4.29; -2.75; 0.0; 6756.55660315; 0.074876118254; 0.989098556274; 1.79408066669; 214919.758157; -0.15072011902; 0.215725649309; 0.0; nan; -6.57588367157; False; False
6772.32; 28.0; Ni I; 3.66; -0.987; 0.0; 6772.293217; 0.132794634634; 0.885447734517; 38.4281354526; 67508.7277271; -1.18561646731; 1.92158888018; 5.04; 0.09; -5.25; True; False
6786.86; 26.0; Fe I; 4.19; -1.85; 0.0; 6786.84784756; 0.132571169559; 0.949201959828; 17.7737828253; 29927.8721676; -0.53680447653; 1.0361625514; 6.32; 0.03; -5.58; True; False
6810.26; 26.0; Fe I; 4.6; -1.0; 0.0; 6810.2438462; 0.121846507232; 0.904648395144; 28.8268427722; 173650.576786; -0.711103418974; 1.77461131167; 6.24; -0.05; -5.37; True; False
6965.41; 12.0; Mg I; 5.75; -1.51; 0.0; 6965.35691259; 0.135609643196; 0.95397945238; 15.5863844149; 108273.121623; -2.2849089593; 1.64672453882; 6.73; -0.005; -5.65; True; False
6971.93; 26.0; Fe I; 3.02; -3.39; 0.0; 6971.92159071; 0.12948439946; 0.959201656682; 13.2728229124; 8509.37337027; -0.361599295879; 1.45114238545; 6.26; -0.03; -5.72; True; False
7112.17; 26.0; Fe I; 2.99; -3.044; 0.0; 7112.14777384; 0.142353090208; 0.908808994139; 32.8317755566; 33512.2774392; -0.936880889374; 3.62457436472; 6.36; 0.07; -5.34; True; False
7189.15; 26.0; Fe I; 3.07; -2.796; 0.0; 7189.14136668; 0.132284259471; 0.869922137509; 38.3080920703; 281.808829497; -0.360015953424; 4.59321412781; 6.33; 0.04; -5.27; True; False
7223.66; 26.0; Fe I; 3.01; -2.269; 0.0; 7223.63222651; 0.130219249678; 0.78100694497; 68.6234409772; 17826.5612794; -1.15264476543; 3.7199443484; 6.24; -0.05; -5.02; True; False
7224.49; 26.1; Fe II; 3.89; -3.243; 0.0; 7224.64631248; 0.160093653103; 0.85892084698; 53.1234448595; 722.372815517; 6.48631113354; 3.39912575534; 7.37; 1.03; -5.1335209646; False; False
7387.69; 12.0; Mg I; 5.75; -0.87; 0.0; 7387.64749285; 0.136987370626; 0.907179322705; 32.8309207483; 25426.8809498; -1.72495016799; 2.13224951193; 6.5; -0.235; -5.35; True; False
7401.69; 26.0; Fe I; 4.18; -1.66; 0.0; 7401.65871727; 0.148916098153; 0.925016646629; 28.4237825372; 40430.1543872; -1.2670572822; 1.79174473171; 6.35; 0.06; -5.42; True; False
7710.36; 26.0; Fe I; 4.22; -1.129; 0.0; 7710.33708972; 0.139753904091; 0.85342983136; 51.2703019164; 51681.6632592; -0.890794825581; 3.2675371171; 6.29; 0.0; -5.18; True; False
7711.72; 26.1; Fe II; 3.9; -2.543; 0.0; 7711.69196071; 0.138660118775; 0.909069714429; 31.3025721622; 98979.9032725; -1.09002893769; 2.00713410384; 6.21; -0.07; -5.39; True; False
7723.2; 26.0; Fe I; 2.28; -3.617; 0.0; 7723.19042878; 0.137939596605; 0.850698053391; 52.2361958397; 36238.8160542; -0.371527640811; 3.37523869832; 6.35; 0.06; -5.17; True; False
7800.29; 37.0; Rb I; 0.0; 0.13; 0.0; 0.0; 0.0; 0.0; 0.0; nan; nan; nan; nan; nan; 0.0; False; False
7835.31; 13.0; Al I; 4.02; -0.47; 0.0; 7835.25850639; 0.143448600619; 0.968365249188; 11.7775093284; 30343.446366; -1.97024736086; 1.46627217462; 5.13; 0.005; -5.82; True; False
7836.13; 13.0; Al I; 4.02; -0.31; 0.0; 7836.08705468; 0.146918648019; 0.957607905717; 15.8572493571; 60892.8579921; -1.64299909852; 1.96587005708; 5.12; -0.005; -5.69; True; False
7941.09; 26.0; Fe I; 3.27; -2.331; 0.0; 7941.07507018; 0.133427330874; 0.890397494588; 35.7882988781; 63805.9763039; -0.563632332272; 4.06823762596; 6.02; -0.27; -5.35; True; False
