#Table: J/A+A/511/L10/./table3.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------------
          |m|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |_|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |N|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |a|    |    |     |   |     |    |    |    |    |     |     |    |    |    |
          |m|    |    |    [|   |   [N| [Mg| [Si| [Ca| [Ti|   [C|   [N|  U(|  V(|  W(|
Name      |e|Teff|logg|Fe/H]|ksi|a/Fe]|/Fe]|/Fe]|/Fe]|/Fe]|r/Fe]|i/Fe]|LSR)|LSR)|LSR)|Class
----------|-|----|----|-----|---|-----|----|----|----|----|-----|-----|----|----|----|------------
HD3567    | |6051|4.02|-1.16|1.5|-0.24|0.14|0.17|0.31|0.22|-0.05|-0.13| 164|-259| -51|low-alpha
HD17820   | |5773|4.22|-0.67|1.3| 0.13|0.35|0.30|0.27|0.25| 0.02| 0.03|  42| -85| -70|TD
HD22879   | |5759|4.25|-0.85|1.3| 0.10|0.36|0.32|0.30|0.25| 0.00| 0.00|-104| -76| -37|TD
HD25704   | |5868|4.26|-0.85|1.4| 0.08|0.32|0.25|0.22|0.19|-0.01| 0.00|-119| -53|  -2|TD
HD51754   | |5767|4.29|-0.58|1.4| 0.11|0.33|0.25|0.24|0.21| 0.02| 0.03| 232|-150|  13|high-alpha
HD59392   | |6012|3.91|-1.60|1.9|-0.15|0.28|0.27|0.38|0.33| 0.00|-0.01| 115|-307| -25|(low-alpha)
HD76932   | |5877|4.13|-0.87|1.4| 0.10|0.34|0.28|0.30|0.25| 0.01| 0.00| -41| -77|  76|TD
HD97320   | |6008|4.19|-1.17|1.6| 0.10|0.34|0.28|0.26|0.23|-0.04| 0.00|  80| -11| -30|TD
HD103723  | |5938|4.19|-0.80|1.2|-0.17|0.10|0.11|0.21|0.12|-0.04|-0.14| -72|-193|  58|low-alpha
HD105004  | |5754|4.30|-0.82|1.2|-0.05|0.17|0.14|0.17|0.07|-0.03|-0.06| -44|-239| -92|low-alpha
HD106516  | |6196|4.42|-0.68|1.3| 0.16|0.34|0.30|0.26|0.25| 0.00| 0.02|  62| -61| -50|TD
HD111980  | |5778|3.96|-1.08|1.5| 0.03|0.36|0.40|0.34|0.25|-0.02| 0.00| 239|-174| -57|high-alpha
HD113679  | |5672|3.99|-0.65|1.4| 0.15|0.37|0.33|0.32|0.26| 0.02| 0.03| -96|-278|   3|high-alpha
HD114762  |A|5856|4.21|-0.70|1.5| 0.14|0.29|0.25|0.22|0.19| 0.01| 0.00| -71| -53|  64|TD
HD120559  | |5412|4.50|-0.89|1.1| 0.08|0.36|0.28|0.27|0.28| 0.05| 0.03| -19| -38| -30|TD
HD121004  | |5669|4.37|-0.70|1.3| 0.10|0.36|0.31|0.32|0.28| 0.02| 0.01|  70|-242| 105|high-alpha
HD126681  | |5507|4.45|-1.17|1.2|-0.06|0.38|0.42|0.34|0.25| 0.02|-0.01| -15| -28| -64|TD
HD132475  | |5646|3.76|-1.49|1.5|-0.02|0.41|0.51|0.37|0.24|-0.03| 0.01|  44|-371|  60|(high-alpha)
HD148816  | |5823|4.13|-0.73|1.4| 0.14|0.32|0.29|0.25|0.22| 0.00| 0.03|  98|-260| -73|high-alpha
HD163810  | |5501|4.56|-1.20|1.3|-0.22|0.18|0.17|0.28|0.22| 0.02|-0.10| 254|-193|  37|low-alpha
HD175179  | |5713|4.33|-0.65|1.2| 0.13|0.34|0.28|0.28|0.25| 0.03| 0.01|  96|-102| -19|TD
HD179626  | |5850|4.13|-1.04|1.6| 0.07|0.35|0.30|0.32|0.26| 0.01|-0.04|  91|-215|  45|high-alpha
HD189558  | |5617|3.80|-1.12|1.4|-0.04|0.36|0.36|0.35|0.26|-0.02| 0.00|  80|-109|  48|TD
HD193901  | |5650|4.36|-1.09|1.2|-0.27|0.13|0.18|0.22|0.10|-0.04|-0.14|-148|-233| -66|low-alpha
HD194598  | |5942|4.33|-1.09|1.4|-0.12|0.18|0.18|0.22|0.13|-0.04|-0.09| -65|-267| -29|low-alpha
HD199289  | |5810|4.28|-1.04|1.3| 0.08|0.36|0.31|0.27|0.24|-0.02| 0.02| -32| -55| -19|TD
HD205650  | |5698|4.32|-1.17|1.3| 0.09|0.36|0.32|0.28|0.23|-0.02| 0.00|-114| -71|  18|TD
HD219617  | |5862|4.28|-1.45|1.5|-0.17|0.26|0.35|0.31|0.20|-0.05|-0.08| 228|-174| -32|(low-alpha)
HD222766  | |5334|4.27|-0.67|0.8| 0.06|0.35|0.28|0.31|0.28| 0.07| 0.01|-179|-173|   0|high-alpha
HD241253  | |5831|4.31|-1.10|1.3| 0.04|0.32|0.31|0.30|0.24|-0.02|-0.01|  18| -74|  91|TD
HD284248  | |6135|4.25|-1.57|1.6|-0.24|0.22|0.23|0.32|0.29|-0.07|-0.07|-349|-150| -70|(low-alpha)
