#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
6.1771,-53.9839,28,-21,-19,-7,6.5,210,-28
6.2958,16.9917,63,-13,-26,-11,-5.5,85,-59
6.3454,20.5919,88,-2,-31,-4,-17.7,43,-45
6.2558,-30.6975,51,73,-39,-13,22.0,-176,-287
6.2412,-62.2061,123,-56,-32,8,-12.6,108,-14
6.2771,-65.3989,116,-15,-24,6,1.5,44,-28
6.4375,-77.2542,7,-56,-44,-30,22.4,2222,323
6.4029,-19.9339,105,18,-14,-21,19.1,-13,-48
6.3833,-24.9725,112,12,-21,13,-13.9,-3,-45
5.1796,-87.6669,89,-50,-11,-20,-5.6,120,47
6.5125,0.4375,102,80,-6,4,-18.8,-137,-86
6.6533,-14.03,86,26,-29,5,-13.3,-21,-89
6.7687,25.0419,80,-30,-23,-8,-1.4,101,-17
6.7213,-0.9294,88,-3,-15,-10,2.8,26,-33
6.7442,-23.2919,194,-37,1,-10,8.0,35,20
6.8608,26.2786,61,-7,-27,-13,-9.1,72,-71
6.7821,-7.8758,34,5,-1,20,-19.6,-37,18
6.7717,-36.5664,55,11,5,-13,13.9,-43,5
6.8108,-31.0369,107,7,-33,-32,32.5,27,-59
6.7033,-67.7214,83,-38,-21,-7,2.0,112,6
6.8358,-8.6583,102,-3,-24,-17,8.7,33,-48
6.875,-31.8281,74,-24,-5,-23,20.2,72,28
6.9183,-16.4092,74,-66,-22,-19,15.2,199,33
6.9312,-32.3872,46,-57,-54,38,-43.1,333,-103
6.975,-24.8481,88,-37,-4,-40,37.6,90,32
7.0833,10.1897,36,13,-31,-14,-9.5,36,-204
6.9092,-71.8825,102,6,-20,-17,25.4,13,-7
7.0875,-20.335,32,25,-5,-7,6.9,-121,-116
7.11,-29.2847,56,-6,-15,29,-29.2,39,-43
7.1383,-11.2372,63,-22,-22,14,-17.8,97,-10
6.7129,-83.1389,105,-17,-20,-7,10.0,50,-2
7.3479,40.8417,58,20,-23,-6,-25.1,-18,-61
7.3796,24.8808,105,26,-33,-18,-21.4,-9,-80
7.3171,-5.9103,56,54,-28,-28,9.6,-111,-222
7.465,38.3239,85,39,-27,-16,-32.1,-47,-84
7.395,-32.5689,76,-59,40,-9,0.9,86,179
7.4804,-1.1175,71,-30,-45,-16,0.3,150,-79
7.4658,-14.8639,42,-22,-20,-7,2.9,147,-35
7.5358,4.86,67,0,15,-11,16.5,-19,15
7.8037,69.785,42,-57,-18,-17,12.5,299,-72
7.6221,32.1767,128,-3,-6,-9,1.4,11,-15
7.6896,47.5297,48,0,0,-13,4.1,5,-56
7.6296,-0.3731,80,0,9,-35,34.9,-5,-25
7.6112,-15.915,81,-59,-26,12,-14.9,164,28
7.6587,-18.6208,101,-76,-49,0,-8.3,188,-6
7.6083,-48.2147,45,-31,-13,59,-58.9,134,-85
7.7567,43.3739,94,46,-6,-33,-15.1,-75,-98
7.8,-21.3511,231,-20,-33,-7,2.4,31,-17
7.8342,-11.2239,109,-19,-34,-6,-2.2,66,-39
7.8,-41.8817,62,73,9,-17,29.0,-225,-79
7.8817,-4.2822,63,42,-21,-23,7.4,-78,-155
7.9625,18.1053,95,-4,-39,-27,-4.7,57,-89
8.0904,58.3383,88,6,-9,-8,-10.0,-1,-20
7.935,-53.48,73,-1,-19,-9,14.9,32,-31
8.0921,-24.6461,72,-41,-20,8,-10.8,130,13
8.2325,16.1672,120,-26,-11,17,-11.6,47,28
8.2083,-13.2575,74,-45,-40,-18,10.2,170,-40
8.1192,-68.0072,51,-30,2,-6,-8.1,106,63
8.0746,-70.7628,162,5,-1,4,-0.4,-5,-7
8.3746,40.1056,60,1,2,1,1.1,-6,7
8.3267,13.8406,81,-38,-13,12,-5.6,99,41
8.385,-38.1133,74,-10,-24,-49,49.3,70,-17
8.64,62.9031,52,12,-5,-19,-10.4,-27,-79
8.6479,62.5903,62,-13,-29,-3,-18.7,89,-3
8.6596,62.6219,64,-14,-29,-2,-17.8,89,-1
8.4325,-35.0019,36,55,-70,-17,29.3,-61,-497
8.6237,47.9153,47,-72,-54,10,-12.6,399,61
8.5442,31.6453,118,-19,-18,0,-5.5,46,-2
8.5346,5.9578,103,-11,7,7,0.7,11,29
8.4704,-39.2456,100,-13,-27,-14,15.7,55,-29
8.8071,51.8381,44,27,-65,-14,-65.5,53,-127
8.6158,-52.3731,26,-16,-23,-37,36.3,227,39
9.5604,84.6747,40,-2,12,1,10.6,-22,-17
8.7817,7.7231,68,-6,-2,-9,7.3,21,-12
8.5246,-70.9208,181,0,3,-1,-1.5,-3,3
8.8117,-3.5928,21,-36,-19,-13,10.7,416,-23
8.8688,11.84,86,63,-33,-10,-28.6,-88,-136
8.7617,-63.695,29,-75,-116,33,3.5,885,-530
8.8867,-0.5056,55,-26,-27,-20,11.6,143,-63
9.135,69.2794,106,-6,-3,-36,-3.0,18,-70
8.9588,16.5694,95,41,-33,-28,-13.4,-36,-124
8.9783,13.2069,38,41,-21,-1,-23.3,-131,-177
8.8925,-39.7461,29,-5,-25,19,-14.9,116,-167
9.015,7.1558,51,-11,-10,-2,-0.4,61,-13
9.0075,-5.5706,47,-33,-42,-22,10.3,228,-110
8.9212,-48.0008,36,3,-21,-4,9.9,47,-101
9.1392,56.1422,144,30,-8,0,-21.9,-31,-5
9.1012,8.8739,84,6,-10,-2,-5.2,0,-26
9.05,-26.7603,167,19,4,-11,12.2,-23,-8
9.1379,13.2728,81,-24,-7,0,2.7,63,15
9.0183,-49.1281,43,-56,-61,9,-4.6,385,-130
9.0729,-38.2939,57,-53,-41,2,-4.5,244,-31
9.1821,27.0522,130,9,-4,-9,-0.7,-8,-21
9.2379,5.4125,107,-22,-11,1,-0.9,48,7
9.2133,-24.4964,65,30,-65,-30,26.2,32,-235
9.1579,-49.1322,44,-56,-63,7,-1.9,387,-132
9.38,55.2253,123,-2,-18,-1,-14.3,20,-4
9.9467,82.4936,32,34,-22,0,-34.7,-112,77
9.3362,-24.7672,15,-83,-51,-24,18.5,1391,-13
9.4871,47.4075,48,-34,9,-28,31.5,112,-84
9.3287,-35.42,113,-31,-14,8,-10.2,62,6
9.3437,-37.2881,45,-98,-66,14,-19.6,551,-42
9.3746,-25.7517,68,15,-16,-10,9.8,-12,-66
9.4683,-16.6719,159,13,-22,-9,3.8,1,-35
9.5883,19.705,100,-14,-11,-13,6.8,39,-22
9.7404,54.7122,67,15,-4,18,-13.6,-35,48
9.5842,-32.035,144,33,-19,14,-10.6,-28,-51
9.6504,-23.5992,63,24,2,-8,8.7,-72,-39
9.6137,-45.9011,80,-3,27,2,-9.1,-30,61
9.5346,-66.0428,104,-60,-15,-22,3.2,122,52
9.7096,-18.8681,99,2,-4,-25,23.9,3,-18
9.805,3.1339,46,-170,-55,49,-27.9,783,299
9.9663,63.2275,135,35,-11,-7,-27.6,-37,-13
9.8408,21.2503,11,40,-20,9,-33.5,-461,-370
9.7362,-52.5342,76,-12,-23,-5,8.6,63,-28
9.9196,11.5322,50,-30,-22,-3,-0.2,157,-13
9.8962,-0.1625,83,-33,-36,-20,9.9,123,-51
9.9092,-3.0831,75,-22,-29,-12,3.9,98,-46
9.5737,-73.9625,61,61,-28,-7,46.0,-128,-109
9.7971,-57.9678,80,-9,-32,-16,24.6,67,-30
9.9317,-11.1506,72,36,-17,-35,24.8,-59,-125
10.0804,26.6661,63,-38,-38,-1,-10.6,174,-21
9.9908,-33.9614,41,-45,-50,12,-12.2,330,-108
9.9358,-41.6594,97,57,-17,-3,15.3,-86,-90
10.205,40.1869,17,18,-82,-26,-63.9,358,-669
10.1017,-7.6567,59,-15,-45,-3,-9.0,131,-103
10.2196,31.1164,57,-41,-7,1,12.0,143,40
10.1367,-23.8047,29,-48,-91,42,-48.2,632,-357
10.3942,65.8681,48,-16,-5,-14,3.6,73,-59
10.1275,-27.2761,52,54,-25,-18,19.4,-131,-201
10.1342,-29.8681,58,-45,5,-40,37.4,136,109
10.1975,-7.2325,26,4,-7,-16,12.0,9,-102
10.1067,-59.4544,25,-110,-18,-35,2.8,883,443
10.1996,-27.3753,85,0,-22,8,-8.5,28,-47
10.1829,-49.5919,43,-6,-57,-45,57.5,180,-124
10.005,-70.7353,323,9,-14,-20,25.8,0,1
10.2992,9.355,33,28,-9,3,-15.2,-122,-104
10.4267,49.8331,133,-40,-19,-7,6.3,70,-6
10.3817,12.9592,107,44,-24,-20,-12.1,-48,-92
10.4246,20.1369,59,-13,-22,-12,-1.3,83,-57
10.5058,40.6881,49,7,-6,-12,-3.6,-12,-63
10.5404,-3.0561,51,-10,-49,-4,-12.3,142,-144
10.5967,4.1664,62,-4,-8,-15,10.1,27,-38
10.5867,-30.8067,104,9,-3,-19,19.3,-12,-12
10.4987,-55.7819,97,22,15,4,-2.7,-58,-1
10.5762,-45.5511,59,28,-6,-13,19.2,-72,-50
10.7554,9.0189,109,4,9,37,-26.4,-19,50
10.7112,-9.9217,41,3,5,-22,22.4,-26,-21
10.6383,-54.12,40,39,-34,-30,49.9,-75,-161
10.645,-54.1178,42,40,-36,-29,50.1,-70,-166
10.6179,-65.4678,41,3,-22,-38,41.5,54,41
10.8021,-37.9825,44,4,-25,0,4.0,51,-111
10.855,-25.9222,143,-12,14,-25,24.9,6,26
11.2,67.1581,46,-44,-17,-13,8.2,216,-59
11.0467,46.2353,76,-19,-16,-11,-0.1,68,-30
10.8379,-47.9894,194,-34,-53,-9,16.1,62,-25
9.6875,-85.4122,38,28,-15,-10,28.4,-86,-29
10.9529,-37.4728,74,7,-3,-7,8.4,-10,-14
11.1108,-26.5156,33,-53,-5,-57,56.2,315,148
11.115,-13.4156,73,-15,-26,14,-17.2,76,-30
11.1254,-36.1081,69,-17,-30,16,-14.1,92,-58
11.4483,66.4925,43,-6,12,-9,12.7,-8,-47
11.1846,-22.0061,28,2,14,-5,6.7,-68,81
11.2954,0.2531,41,-41,-30,-16,11.9,265,-52
11.4617,54.9778,49,-9,-26,-15,-14.8,95,-74
11.1317,-62.4975,84,-37,-17,0,-4.1,102,9
11.6604,69.3253,41,-20,-29,1,-13.5,167,15
11.2496,-53.7147,45,-37,-31,-15,14.8,225,2
11.3692,-12.8806,32,22,-25,3,-10.7,-32,-205
11.1633,-65.6494,22,50,-110,-27,95.1,158,-741
11.0321,-74.2653,99,-25,-51,-6,25.5,104,-36
11.5133,40.8089,61,-19,-18,-17,1.2,89,-59
11.4967,-16.6525,119,-30,-1,-5,7.2,46,24
11.4883,-30.7092,130,-2,6,-34,33.8,-1,13
11.4396,-47.5519,15,-16,1,8,-11.1,184,78
11.4242,-48.3011,39,9,6,21,-19.3,-60,-38
