#ra,dec,Dist,UVel,VVel,WVel,RVel,pmRA,pmDE
179.1762,-32.2681,36,-24,-18,-4,6.2,-174,-5
179.1821,-32.2672,34,-23,-19,-3,6.9,-181,-5
179.1829,-47.0722,54,-27,-20,0,7.6,-128,23
179.2342,-13.7544,57,31,-43,2,34.8,32,-144
179.2129,-38.8492,48,18,-21,7,27.1,34,-25
179.2508,-4.7825,50,-32,-23,5,14.7,-156,6
179.2312,-12.1078,53,-26,-14,-12,-3.4,-124,-19
179.3237,62.2308,114,3,-14,-2,-8.4,-7,-20
179.3104,40.3436,46,-34,-24,25,30.6,-160,-61
179.3267,-22.5392,50,15,-4,-16,-3.7,35,-87
179.315,-48.7433,42,-14,-17,-6,7.7,-106,-17
179.3954,28.555,165,-35,-19,-17,-8.7,-54,-1
179.3704,19.9839,29,-50,-18,-6,4.4,-386,54
179.3754,-39.2178,46,44,-25,0,36.3,128,-102
179.3787,-27.0558,55,-12,-6,-23,-11.2,-68,-64
179.4421,-8.2753,65,5,-39,8,30.5,-36,-78
179.4387,-8.5486,58,-28,-17,7,12.2,-109,22
179.5237,80.6319,101,-59,16,48,66.2,-72,-43
179.5179,25.1378,82,25,12,13,7.0,77,-1
179.5042,14.0378,70,-31,11,-4,-5.2,-69,69
179.5296,32.2739,47,-15,-23,-6,-1.6,-109,-61
179.515,-31.6508,53,-12,-26,-5,15.2,-91,-37
179.5967,42.695,139,48,-10,-50,-62.9,41,-23
179.565,-47.9769,36,-16,-10,-19,-2.2,-129,-85
179.5775,-51.5158,68,22,-30,7,37.1,22,-4
179.6167,-41.9219,32,-31,-200,-6,160.1,-769,-265
179.6146,-57.9925,53,-11,-5,-12,-1.0,-55,-36
179.6021,-57.9953,55,-12,-3,-13,-3.7,-53,-37
179.7625,-4.7772,79,66,-16,-46,-22.9,111,-180
179.7592,-23.4139,32,5,-13,5,14.2,-1,-28
179.7246,-43.6464,125,-30,-47,-41,17.1,-93,-64
179.8062,24.6278,113,-28,-6,-5,0.6,-52,13
179.8971,71.5781,77,-12,-25,-8,-14.1,-64,-25
179.8967,-46.6331,96,20,-3,3,11.5,37,-9
180.0137,-46.7842,94,-36,-100,-37,64.6,-187,-88
180.0521,-20.7356,193,-3,1,-8,-6.7,-4,-4
180.0375,-44.8603,124,-35,-13,-8,-4.0,-65,1
180.0596,5.3633,36,-34,-47,-3,16.5,-302,-127
180.1717,59.3531,63,14,-4,-16,-20.2,25,4
180.1596,-72.0069,84,-16,-28,-2,16.3,-68,15
180.2117,32.9636,119,8,-7,-13,-14.8,2,-16
180.1975,-12.1575,56,-20,-19,-10,1.5,-105,-32
180.2917,3.6322,84,-16,-8,-25,-19.0,-55,-21
180.3046,30.6381,90,-32,-42,-9,-0.7,-114,-52
180.42,39.5864,65,19,-18,-13,-19.2,19,-70
180.4129,-78.9878,63,-4,-18,-8,15.4,-43,-4
180.4421,-34.6503,56,-48,-15,-9,-7.2,-191,17
180.5867,-59.9878,93,-33,-13,-2,-3.6,-79,11
180.6879,-10.6492,156,-28,-11,-12,-7.1,-43,-2
180.6942,24.8361,79,16,1,-19,-21.3,28,-21
180.7125,-68.5847,81,-13,-3,1,-3.1,-32,9
180.7492,-10.7522,58,8,9,-11,-12.7,33,-19
180.9146,-42.4339,24,51,-20,8,39.2,325,-111
180.9012,-39.0089,47,-68,-50,-19,10.7,-383,-39
180.9575,19.3839,82,6,-5,-8,-7.2,5,-22
180.935,5.5575,65,-27,-46,-8,11.2,-150,-84
180.9487,-44.1178,52,23,7,10,5.5,102,16
180.9425,-44.1228,56,24,8,12,6.0,99,20
180.9483,-54.7147,81,0,-5,-22,2.1,-16,-56
181.0092,24.9389,84,-1,8,3,2.0,9,20
181.0229,3.3406,63,100,-129,-57,9.8,61,-574
181.1404,66.3364,48,-9,-3,-19,-12.0,-56,50
181.1429,-31.1875,61,19,-12,11,20.5,45,-9
181.1171,85.5869,76,-24,14,-28,7.1,-55,92
181.215,-34.78,130,27,17,-20,-14.3,45,-34
181.2371,17.4764,39,23,-33,4,9.8,30,-209
181.2696,9.2394,84,31,-6,3,4.8,62,-47
181.2467,76.7622,59,-22,-28,9,-1.7,-107,-74
181.2796,33.7497,51,-14,-23,-11,-8.0,-103,-55
181.3058,-28.7169,36,61,-22,-45,10.5,203,-410
181.3021,-1.5089,33,-73,-38,4,16.1,-515,57
181.3492,38.6569,75,5,-4,-2,-3.8,7,-15
181.3546,17.2892,101,-15,-40,9,18.9,-61,-53
181.3637,10.9606,71,-1,6,-14,-15.0,-1,6
181.3533,-26.5953,132,-51,-252,-99,121.6,-283,-275
181.3967,52.8753,115,-13,6,-4,2.7,-17,20
181.4092,28.2944,84,78,-3,-8,-20.5,163,-98
181.4617,1.3053,148,-66,-19,5,8.9,-93,28
181.4804,-49.8536,102,37,-38,3,49.7,32,-23
181.4854,-49.8525,89,34,-39,4,49.5,31,-21
181.5033,23.2044,90,-4,-6,3,4.4,-15,-8
181.5037,14.6489,58,99,-28,-37,-32.3,245,-292
181.5092,-37.0867,51,-6,-22,5,18.5,-61,-1
181.5354,-30.1903,68,-10,-5,-12,-5.0,-40,-27
181.5217,-32.9611,51,17,-50,-33,30.0,-56,-216
181.5362,-69.1253,63,-2,-17,11,12.1,-25,47
181.5054,68.6986,130,0,-29,-4,-17.7,-23,-30
181.5246,49.1583,55,-30,-13,-5,1.1,-126,6
181.5933,18.2006,186,-28,-19,7,12.9,-36,-2
181.6808,-9.41,119,-16,-18,-17,-4.8,-45,-26
181.7204,-64.6136,20,8,-6,-3,9.0,34,-37
181.7275,-38.1064,50,-10,-20,-9,9.7,-82,-45
181.7479,47.1422,113,9,5,13,10.6,23,-7
181.7554,-23.7661,78,-37,-19,9,9.6,-106,35
181.8192,-52.7042,107,-14,6,-2,-12.0,-19,3
181.8162,-64.6817,62,-48,-10,-5,-13.3,-160,7
181.8125,-5.7336,294,-186,-434,-193,56.2,-283,-228
181.8454,-43.2464,107,5,-25,7,25.7,-12,0
181.9125,-23.9758,38,38,-20,-24,10.6,112,-242
181.8967,-31.4103,33,-11,-7,-22,-8.8,-107,-108
181.9462,-8.4858,102,-64,-10,-53,-46.1,-142,-15
182.0354,-60.7811,49,-8,-30,4,22.8,-89,31
182.0287,39.6553,46,-28,-16,-3,2.0,-149,-8
182.0292,55.4639,51,-38,-22,1,7.0,-177,-22
182.04,55.4647,53,-37,-24,0,4.6,-173,-26
182.0854,43.9069,66,-16,2,-15,-9.8,-50,40
182.1033,-24.7286,15,8,0,1,3.0,100,-39
182.2146,-78.1,65,-4,-11,-23,13.2,-40,-58
182.1392,65.3494,53,1,6,4,5.6,18,5
182.1783,-18.4353,115,-58,-24,-21,-12.1,-120,-6
182.2258,-55.7281,283,-43,-9,2,-11.1,-31,8
182.2275,21.7886,61,-104,-42,-28,-10.3,-397,36
182.3071,-36.6936,76,-24,-22,-7,6.4,-90,-14
182.3087,14.8297,70,-4,-22,1,7.0,-39,-49
182.3367,-27.9819,51,-18,-29,16,25.4,-111,30
182.335,-42.8383,76,-12,-12,-5,3.8,-46,-12
182.3354,53.3944,58,35,-22,-1,-19.2,75,-111
182.3687,-11.8569,24,38,3,-5,1.6,296,-168
182.3704,-11.8544,91,17,-30,-4,18.5,1,-69
182.4917,-13.4353,80,-22,41,-45,-64.1,-20,16
182.4458,74.6611,72,5,-11,-12,-16.8,-7,1
182.48,42.3097,100,-47,-12,-3,7.0,-99,21
182.5267,-49.1806,38,-14,-28,-11,15.9,-149,-60
182.5329,-56.99,50,-33,-14,-7,-3.0,-154,-2
182.5237,-17.5372,74,-19,-27,-10,6.9,-88,-42
182.5696,-35.0564,139,3,-17,-19,6.3,-13,-35
182.5912,-55.1283,90,37,-19,-8,32.6,51,-38
182.5862,-35.2353,113,-35,-16,-16,-6.8,-75,-14
182.5921,-43.8708,77,-21,-40,2,26.7,-101,-3
182.5658,54.4881,78,36,-8,-25,-37.4,64,-23
182.7121,50.5469,107,11,-37,-26,-37.2,-24,-49
182.7412,-46.3219,38,12,1,35,13.7,89,169
182.7712,-61.2772,88,-42,-20,-15,-2.5,-116,-18
182.765,-50.0089,99,-62,-33,-1,1.7,-147,21
182.7712,-53.0378,84,-32,-6,5,-8.1,-76,28
182.7408,53.9031,117,5,6,-5,-4.2,12,10
182.7904,39.13,84,-3,7,-2,-0.7,1,21
182.8242,-5.9258,52,-47,-46,-31,-7.6,-273,-106
182.8296,-44.8611,44,-44,-19,-12,-5.6,-235,-13
182.8404,-3.7786,50,-14,-19,-16,-5.0,-101,-63
182.8454,-16.7908,34,-10,-15,-9,1.5,-108,-63
182.8692,-44.2828,42,31,4,0,9.5,143,-38
182.9087,-54.4175,53,23,-12,5,22.1,61,0
182.8837,34.2586,72,35,-19,-7,-14.1,58,-94
182.955,-19.9292,104,-40,-20,-13,-5.1,-94,-7
183.0042,28.5361,81,36,-8,-9,-13.4,68,-63
183.0054,13.2611,153,20,-368,-6,99.7,-216,-439
183.0112,46.6008,120,-17,5,20,24.9,-17,9
183.1204,-66.0078,44,-32,-11,-16,-4.9,-172,-54
183.1033,27.38,92,-2,-7,-1,-0.2,-12,-11
183.1246,3.4039,64,-25,-10,7,8.9,-83,23
183.12,-3.0844,34,-116,-4,31,14.1,-607,420
183.2154,-37.3897,54,-6,-32,-16,17.6,-91,-88
183.2162,31.7961,73,15,-8,-10,-12.6,22,-39
183.2396,10.0375,31,53,-26,-18,-7.0,211,-358
183.2808,-38.0364,71,2,-51,-12,38.0,-72,-80
183.305,-41.8025,89,-20,13,-5,-20.5,-28,10
183.3046,10.8217,34,48,-70,-50,-24.9,10,-591
183.3508,-40.0786,78,-14,1,-8,-9.1,-35,-8
183.3729,10.0414,37,28,-43,1,15.4,24,-280
183.405,-9.5133,88,-23,-45,2,23.7,-99,-42
183.4658,-69.0603,32,7,-81,4,72.6,-211,113
183.4325,22.8878,89,-4,-7,6,6.7,-13,-9
183.2313,83.5031,147,-5,2,-6,-0.2,-6,10
183.5042,42.1547,104,11,-26,-9,-15.0,-9,-51
183.5346,30.8192,66,-22,-49,8,12.0,-132,-106
183.6342,-44.1058,99,52,-82,-68,70.3,-8,-205
183.6146,23.6611,100,22,-61,0,6.0,-22,-135
183.6237,-29.5986,70,18,-45,-19,30.4,-25,-125
183.6138,8.7822,52,29,-28,14,24.2,56,-131
183.6937,-56.7789,91,10,-12,1,15.2,6,-3
183.7392,-41.1392,31,-38,-23,-18,-2.6,-313,-79
183.8271,-63.425,136,-17,-16,-10,5.8,-37,-10
183.7458,33.2561,107,6,6,-27,-27.9,9,11
183.7558,30.1414,51,-9,2,39,40.1,-6,16
183.7937,-10.3122,23,55,-73,-63,4.0,35,-1015
183.8675,-62.5389,83,0,-16,-1,13.6,-20,0
183.7896,32.8411,101,-27,1,-29,-24.1,-56,34
183.8871,-59.1828,61,7,-50,-12,45.9,-68,-42
183.9025,-48.4161,57,-90,-12,10,-26.2,-304,108
183.9442,-23.3539,70,8,-21,1,18.3,-9,-39
184.0283,-3.0167,89,-14,-55,-31,-1.1,-101,-115
184.0346,25.7603,88,-2,-5,-1,-0.7,-11,-9
184.1592,-63.1978,74,-49,-16,-4,-10.0,-145,7
184.1775,43.085,108,-10,-34,-6,-9.6,-51,-46
184.2846,-57.7025,46,-17,3,-14,-11.5,-69,-50
184.3437,-63.2269,63,-43,-12,-3,-9.9,-145,8
184.3825,-48.9256,42,-26,-63,-7,41.5,-271,-48
184.4004,14.4428,59,-19,-21,-9,-3.4,-99,-38
184.4137,-33.2375,72,-10,-19,7,14.8,-50,7
184.455,-50.025,146,-11,-8,6,2.9,-18,10
184.4712,-55.9753,92,-10,-19,-7,11.1,-42,-13
184.5033,-64.1861,113,55,-45,-12,66.9,46,-25
184.4621,25.5711,87,-2,-6,3,4.2,-11,-10
184.4721,-6.4308,88,-22,-44,8,26.3,-94,-37
184.5171,18.435,92,-5,-1,-25,-24.0,-18,-6
184.5383,-3.9539,55,-4,4,2,-1.4,-5,22
184.5396,-3.9486,62,-6,3,2,-1.0,-11,21
184.5567,-20.8403,116,-70,-16,-1,-9.9,-125,36
184.6021,-31.495,60,-44,-36,-22,1.0,-205,-64
184.6233,-42.4272,45,19,-22,-14,21.5,18,-112
184.6396,-43.0614,111,-28,-8,-11,-9.1,-56,-9
184.6504,-44.145,45,26,-28,6,36.4,48,-37
184.6579,-51.4906,46,-26,23,8,-30.1,-48,70
184.6337,-8.9042,70,1,-17,-23,-8.2,-30,-77
184.6475,-14.4069,121,-28,-13,-10,-5.8,-55,-4
184.6317,30.2489,55,35,-17,-13,-17.4,77,-119
184.6504,23.12,69,-2,-5,-2,-1.1,-14,-9
184.7008,-29.9608,136,26,-38,4,40.2,8,-34
184.7254,-40.1278,44,24,7,-9,1.1,111,-63
184.6704,26.1903,63,-20,7,0,1.0,-47,54
184.6921,19.1681,83,-28,-26,-4,2.5,-96,-23
184.735,-45.8814,55,6,-15,-7,13.3,-11,-43
184.2137,86.4356,40,40,10,1,-11.6,211,-10
184.7733,-33.7453,171,-1,-23,-4,16.2,-16,-14
184.9392,-76.8008,56,-35,-18,-20,1.7,-157,-55
184.7771,16.5481,28,-10,-28,-5,1.5,-176,-150
184.8425,17.7286,73,14,-13,-11,-8.4,14,-58
184.8637,-26.1072,82,50,-39,-2,43.8,62,-100
184.8729,28.1567,50,-26,-49,-15,-9.8,-203,-125
184.8679,24.2842,84,-2,-6,-1,-0.4,-12,-10
184.8808,40.9392,75,-5,-24,0,-2.1,-46,-52
184.9183,5.545,96,13,-29,-22,-8.4,-11,-82
184.9775,10.4842,101,12,-11,9,12.7,13,-26
184.9983,-28.5253,122,-18,-32,-13,10.4,-56,-32
185.0196,-37.8033,63,-24,-45,-33,13.4,-155,-121
185.0412,-14.1253,97,20,-38,-13,18.9,-5,-88
185.025,15.7147,65,-9,-20,-33,-27.1,-70,-62
185.0629,-0.1444,153,-29,-21,-16,-8.6,-51,-12
185.2658,-72.8153,132,-17,-5,-37,2.5,-35,-57
185.1633,-3.995,76,-18,-45,-7,14.0,-105,-75
185.1721,27.0544,82,27,-37,-17,-17.1,8,-118
185.1896,25.7658,74,-2,-4,-2,-1.1,-12,-6
185.175,22.9142,97,-21,-26,-11,-6.5,-71,-28
185.2242,-15.8153,74,-16,-30,-19,0.6,-88,-68
185.2896,-38.3025,67,-18,-2,-12,-10.2,-57,-20
185.3183,-53.2956,88,-7,-18,-3,11.4,-37,-8
185.435,-61.5386,69,-34,-100,-25,69.5,-249,-51
185.4104,-27.2728,107,-57,13,-33,-48.2,-92,1
185.4379,21.8725,101,-3,3,-4,-3.9,-4,8
185.3671,61.7472,41,-2,-103,-46,-82.9,-293,-261
185.4542,26.5489,88,-3,-5,0,0.2,-12,-7
185.5187,-31.9461,62,12,-48,-16,34.0,-50,-125
185.4837,27.3094,92,-2,-6,-1,-0.7,-10,-10
185.655,-48.6494,73,-5,-16,-3,11.0,-37,-13
185.6029,22.4639,87,-2,-5,-1,-0.3,-11,-9
185.6867,-39.1775,26,20,11,-17,-7.1,171,-148
185.6262,25.8461,84,-2,-6,1,1.8,-11,-10
185.6333,5.3053,30,-17,-19,-1,4.3,-168,-52
185.7283,-14.6628,81,-6,-20,8,16.8,-38,-12
185.5488,73.2483,43,-49,-79,-105,-98.7,-455,184
185.8375,-52.18,68,-2,-13,43,18.3,-13,126
185.7846,25.8511,84,-4,-6,19,20.0,-11,-8
186.0646,-78.3664,75,48,7,15,14.5,132,40
185.8542,-7.0528,157,82,-8,-37,-10.2,84,-86
185.8792,16.9025,122,-102,-150,0,31.7,-281,-130
185.8058,42.8994,98,-12,18,-19,-12.1,-7,56
185.7996,42.72,88,-24,-22,6,7.0,-74,-24
185.8646,-6.1186,62,-21,22,-16,-29.4,-30,55
185.9275,-38.1203,118,37,-1,2,17.0,56,-17
185.8742,26.5656,181,-3,3,9,9.1,0,5
185.8862,13.9225,72,-25,-25,26,30.5,-92,-7
185.9271,-30.7758,41,-37,-51,57,54.9,-263,204
185.9208,26.9797,80,-3,-5,1,1.6,-13,-8
185.9242,26.6014,75,-4,-6,11,11.4,-14,-10
186.0425,-57.9181,50,35,-37,-3,48.7,50,-34
186.0092,-19.5717,82,-9,-26,-11,7.3,-55,-49
185.9458,42.5425,102,-38,-13,-7,-0.3,-82,16
186.0746,-45.0369,59,-7,-15,12,12.7,-45,35
186.0896,-25.2111,67,-17,-26,-4,10.0,-88,-30
186.1671,-52.5706,68,4,-13,-8,11.4,-13,-30
186.1762,-20.0711,72,1,-3,5,5.4,0,5
186.0587,60.8319,84,-28,-37,-18,-21.7,-111,-20
186.1679,17.8525,86,27,-34,3,9.1,17,-102
186.2475,-44.8761,50,7,8,-18,-9.1,35,-72
186.2854,-42.5142,59,-16,-49,2,34.5,-135,-23
186.1908,38.3186,37,-93,-41,-15,-2.5,-585,64
186.2454,-4.2256,56,7,-88,18,60.4,-136,-212
186.2371,42.8547,83,-38,-11,-15,-7.8,-101,30
186.2592,25.5606,108,-2,-5,-23,-22.0,-13,-7
186.2683,22.9283,83,21,-21,-21,-19.2,14,-78
186.3608,-30.6681,101,-83,-8,-31,-41.8,-165,-3
186.2712,60.6972,43,42,-8,-38,-49.3,141,-4
186.3362,11.9097,80,-2,-12,5,7.6,-19,-20
186.4425,-64.0219,39,-31,-11,-14,-5.4,-182,-61
186.3433,23.2289,105,-2,-5,-25,-23.7,-13,-10
186.4004,-26.8114,65,-27,-32,-10,7.6,-130,-45
186.3767,37.3989,78,74,-8,-11,-24.2,158,-110
186.3954,1.2839,92,110,-227,47,154.5,-31,-470
186.4187,-0.2819,131,-52,-10,-1,-4.2,-81,28
185.9725,83.4281,152,5,-17,-4,-16.5,-6,-9
186.4575,-4.8619,70,-5,-6,-18,-13.0,-27,-34
186.5325,-55.9692,57,-39,-1,34,-13.8,-113,144
186.4983,-14.9478,62,-29,-17,-14,-8.2,-118,-25
186.4375,44.7347,106,-32,-18,4,7.0,-72,-4
186.4662,26.7767,88,-3,-6,-2,-0.9,-14,-9
186.5225,26.7439,51,1,-3,-11,-11.3,-8,-13
186.5742,-51.3628,63,-8,-26,-13,16.3,-72,-49
186.5346,-4.4806,70,6,8,-3,-5.0,25,4
186.5808,-24.2719,63,-11,-1,-18,-14.4,-40,-36
187.3033,-85.5792,86,2,11,17,-13.9,22,29
186.5796,-7.33,80,7,10,-4,-6.8,27,4
186.6267,18.8903,83,-5,6,2,0.9,-3,19
186.7004,-48.9131,27,-55,-68,-10,30.3,-642,-79
186.8804,-71.4228,51,4,-67,16,56.1,-120,115
186.8767,-72.455,104,-54,-17,-15,-10.9,-114,-24
186.7604,-22.3894,88,-51,-19,5,-0.2,-127,32
186.7529,-3.5347,53,38,1,-12,-3.9,127,-95
186.8683,-48.1311,84,-94,-78,-94,-1.5,-322,-214
187.0108,-68.7325,49,-6,16,-34,-13.1,0,-155
186.9517,-50.3364,36,-57,3,12,-27.4,-272,132
186.8946,12.0989,60,-9,-14,12,15.0,-49,-13
186.915,12.2189,70,34,11,1,-0.5,106,-25
187.0342,-52.0753,119,-1,-1,-9,-1.8,-4,-15
187.07,-61.7656,49,41,-26,-32,42.0,83,-150
186.9646,-4.615,92,-35,-16,-7,-5.4,-88,3
186.9808,-8.6778,29,-23,-23,0,6.8,-224,-38
187.0167,-15.6519,46,-33,-60,-10,20.4,-274,-132
187.0179,23.1433,100,-81,-38,1,8.6,-187,19
187.0812,-38.1019,70,53,-7,7,30.8,128,-33
187.0796,-16.9108,28,-34,-104,76,110.5,-562,45
187.0183,44.7942,39,-27,-18,-5,-2.5,-180,-7
187.02,44.7917,43,-31,-18,-6,-2.1,-178,4
187.0575,25.0333,97,4,-17,-8,-6.5,-12,-37
187.2592,-64.9167,95,-11,-12,-6,5.3,-35,-10
187.2517,-43.2339,113,-47,0,-15,-26.1,-78,-6
187.0971,65.4736,114,-27,-9,-15,-6.0,-53,23
187.2254,1.1483,51,-9,-33,-11,2.5,-104,-103
187.2362,28.8861,147,7,2,-20,-20.6,7,-2
187.2658,5.9606,138,16,11,20,16.8,32,12
187.3296,-30.8406,39,69,-12,-41,14.8,269,-340
187.3379,-39.655,88,-44,-15,-15,-12.6,-113,-15
187.3133,35.5317,128,21,-13,3,-1.1,20,-36
187.3125,34.7033,93,-48,-15,-2,3.5,-111,25
187.1829,68.92,130,-22,0,-7,3.5,-32,19
187.4279,-3.3328,52,-3,-142,-75,2.1,-328,-563
187.4929,-12.0653,82,-29,-24,-5,2.8,-96,-16
187.3875,56.3319,59,18,-39,29,4.3,-6,-187
187.4204,24.5206,54,-1,-4,10,10.7,-8,-9
187.5196,-13.3931,25,-23,-20,-5,1.8,-251,-47
187.4812,24.3383,70,-10,-19,-3,-0.8,-56,-34
187.5467,5.8769,118,-11,3,-38,-37.5,-19,-10
187.0929,81.9964,123,-34,-20,-16,-7.3,-69,18
187.5117,51.5356,45,-61,-22,8,16.6,-293,25
187.5521,39.2469,65,-15,-49,4,-0.2,-122,-113
187.7388,-61.4928,75,44,-37,4,53.8,54,3
187.6117,22.8797,68,51,-1,-29,-30.7,128,-90
187.6404,9.7156,71,24,-4,-16,-11.9,51,-58
187.8025,-61.9086,97,-8,-19,-6,12.1,-36,-10
187.8479,-56.9769,49,28,-27,6,38.1,44,7
187.6742,50.9744,48,-22,-64,3,-11.2,-227,-190
187.7529,31.4236,44,3,4,-41,-41.3,9,25
187.7087,53.0764,22,0,9,-28,-22.1,19,182
187.7633,23.7731,65,-20,5,-48,-47.0,-61,39
187.7625,27.7303,79,-3,-5,-2,-2.1,-15,-7
187.8779,33.015,94,24,-32,5,0.5,10,-90
187.8904,21.5767,82,-22,-17,0,2.4,-71,-8
187.9546,-15.7156,130,32,-8,-21,-0.8,36,-52
187.97,-12.6794,61,12,7,-8,-6.8,44,-20
188.0362,-46.3919,71,8,-7,-1,9.1,9,-13
188.2092,-75.4344,95,-28,-10,-12,-4.0,-67,-24
187.9604,29.3139,85,-1,-6,-1,-0.6,-10,-10
188.0687,-56.4678,87,-43,-20,-12,-5.5,-117,-20
187.9667,23.2689,84,18,-5,-20,-19.6,29,-38
188.0175,-16.1958,18,-29,-22,-5,1.8,-425,-57
188.0183,-1.7722,56,-10,4,6,1.2,-25,39
188.1821,-45.4597,89,30,-5,-11,14.9,52,-43
188.3737,-75.3864,66,-18,-29,0,15.1,-96,16
188.1496,-13.8589,37,-18,-18,-9,-0.9,-146,-54
188.7075,-82.98,64,-37,-14,3,-8.0,-127,8
187.9783,68.5147,86,27,1,9,-3.2,60,-36
188.1196,-40.0983,308,-45,24,5,-37.8,-18,16
188.1454,35.83,92,3,-29,-13,-16.0,-30,-57
188.3171,-50.6506,71,8,37,6,-25.9,78,28
188.3804,-68.7556,16,-34,-20,-26,1.9,-546,-311
188.4175,-54.9233,37,6,1,-11,0.3,27,-65
188.3979,-11.6217,57,-50,-6,6,-5.4,-169,81
188.3521,34.1625,52,0,3,2,2.4,8,10
188.3954,7.2808,52,2,4,-7,-7.7,11,-1
188.3292,49.3017,83,-31,-27,26,23.8,-98,-44
188.3621,40.7275,90,21,-3,-40,-43.4,31,-8
188.4542,-23.5156,49,32,-5,-16,4.6,101,-116
188.4962,-49.9097,67,-32,-49,-13,23.0,-167,-46
188.48,-6.7775,71,-42,-13,12,5.9,-124,51
188.4125,44.0961,54,-16,-39,-26,-29.8,-141,-67
188.5396,-18.195,60,28,-11,-7,11.1,62,-80
188.5904,-41.8456,69,-26,-13,-10,-5.1,-89,-20
188.4354,41.3575,8,-29,-3,2,6.3,-705,292
188.4975,26.8369,87,28,-26,0,-0.7,26,-90
188.3921,72.4789,48,52,-40,-47,-77.6,93,-36
188.6804,-31.8764,57,-6,-40,-47,3.3,-106,-205
188.6817,36.3183,120,20,-6,9,5.3,25,-29
188.6992,21.5475,102,12,-10,0,1.0,11,-31
188.8742,-61.7406,89,4,-16,-7,15.9,-12,-17
188.7512,30.1925,166,-33,-52,-5,-2.8,-71,-35
188.7421,23.1481,69,58,-45,-46,-42.7,73,-220
188.7829,7.4425,64,55,0,1,7.6,155,-91
188.7471,36.325,105,-27,-48,-19,-19.8,-98,-49
188.8162,2.2608,99,-62,-6,0,-8.0,-119,54
188.7954,36.4253,122,-4,-11,-22,-22.6,-19,-7
188.8283,36.3381,111,-29,-50,-17,-18.0,-97,-48
188.9679,-53.3747,125,-15,-24,-45,5.1,-47,-75
188.9575,23.435,185,-16,-1,30,30.2,-14,11
188.8662,28.8372,92,34,-10,27,24.3,59,-62
188.9279,-16.8258,77,-27,-12,3,1.1,-79,15
188.975,-35.2139,148,-13,13,-14,-22.6,-7,-6
188.9546,-20.4658,37,-39,-22,-10,-6.1,-259,-22
188.9946,-20.5272,77,18,-2,-15,-2.0,36,-52
189.0221,-42.3094,90,-32,-44,20,27.6,-115,34
189.0271,-42.8522,50,-5,-57,0,44.5,-142,-61
189.0367,-32.9378,89,-84,-52,-48,-19.5,-240,-88
189.0604,-46.8297,64,-8,-2,-14,-5.8,-28,-42
188.9908,31.7325,64,-10,-4,39,39.6,-26,-5
188.9896,11.405,55,-56,-61,9,19.1,-301,-72
188.5679,80.2506,128,-63,-11,18,31.2,-97,-6
189.1183,10.7297,81,9,1,-19,-17.8,19,-25
189.1642,27.4744,335,-132,-426,-148,-130.6,-215,-186
188.9654,69.0136,131,6,-24,-9,-21.9,-13,-19
189.285,-41.9953,55,18,-14,-5,18.0,29,-48
189.2029,20.2378,87,-9,10,-3,-4.8,-6,30
189.3179,-40.8119,59,-44,-12,-9,-13.7,-158,-5
189.2783,-2.3219,47,39,6,-37,-26.5,156,-146
189.4258,-27.1389,35,18,-2,-11,2.4,80,-94
189.3892,45.2536,106,2,11,-4,-2.0,14,19
189.4129,38.6842,53,14,-17,-11,-15.1,11,-76
189.5679,-47.115,157,-20,-11,-3,-1.5,-31,-2
189.6004,-57.9878,115,-26,4,-16,-18.1,-39,-24
189.7042,-51.2156,61,-19,-4,-2,-7.1,-63,0
189.6342,0.2172,78,-24,-12,-6,-5.3,-73,-1
189.7546,-56.9106,62,-18,-23,-20,8.6,-97,-67
189.6058,14.8722,86,-14,-8,-13,-11.6,-41,-6
189.9679,-74.26,75,-4,3,-4,-4.1,-6,-15
189.9971,12.6422,111,98,-164,67,112.4,1,-320
189.7929,-40.3686,92,-22,-38,11,24.5,-88,9
189.79,-34.2717,99,6,0,-10,-1.9,9,-22
189.6362,45.2169,63,-32,-28,9,7.9,-139,-35
189.8154,-32.7258,46,-11,2,-22,-17.9,-43,-68
189.33,79.2153,36,-11,-22,-14,-18.3,-125,11
189.7883,16.4797,90,-40,-16,-14,-13.0,-100,11
189.9375,35.0867,83,5,-13,7,5.3,-6,-38
190.0912,-49.4006,54,2,-13,-27,5.3,-26,-112
190.2062,-53.2372,80,10,-34,-22,30.1,-26,-71
190.0708,21.5197,93,20,-38,3,7.0,-6,-96
190.1754,-32.8658,58,38,-34,-6,39.2,53,-109
190.1692,-8.4483,58,4,-37,-24,0.2,-61,-148
190.3017,-47.6603,46,9,-39,-36,27.5,-68,-201
190.3712,-56.3044,69,20,-20,10,28.7,21,20
190.0867,58.0458,97,-36,-13,48,47.0,-77,-41
190.1575,46.7897,103,-41,-19,-30,-24.4,-95,30
190.1558,40.2878,56,-10,9,-19,-15.8,-16,63
190.2254,8.8292,67,2,-11,0,3.0,-13,-30
190.3246,-33.4442,110,-6,-3,-6,-3.3,-14,-8
190.2308,27.1389,119,-19,-20,-5,-4.3,-47,-12
190.3883,-50.1828,109,14,-25,-24,23.0,-4,-58
190.0142,68.8022,45,-81,-46,-11,-3.0,-438,31
190.2088,40.5214,69,62,-3,17,5.8,158,-117
190.3162,-13.0139,52,-31,-3,-14,-19.0,-116,9
190.2025,63.7714,76,-37,-11,-5,2.9,-103,29
