#oid vrad verr R
195 46.8028 5.963 0.86
452 13.4972 2.819 0.95
257 37.457 5.374 0.91
287 -14.7002 3.735 0.93
457 135.0513 1.961 0.95
277 47.5113 3.659 0.96
142 -51.4635 3.198 0.94
385 -14.3255 4.137 0.94
472 27.137 6.274 0.9
871 10.6308 4.354 0.93
450 -28.0404 3.603 0.95
477 23.0808 3.686 0.93
493 -9.9866 4.12 0.93
217 32.1417 2.985 0.95
224 294.1946 7.777 0.81
293 31.7967 4.269 0.93
547 244.5775 5.326 0.74
568 -21.1333 4.731 0.88
585 -7.1358 2.946 0.95
632 273.9841 4.195 0.94
688 73.7141 2.906 0.94
487 218.7762 5.525 0.8
478 -22.1337 2.446 0.95
689 45.961 4.744 0.87
698 -20.4929 28.38 0.23
264 259.1219 6.719 0.84
230 -3.1244 2.835 0.95
771 48.3147 20.627 0.62
772 164.897 10.409 0.69
564 19.6796 3.001 0.93
800 13.2265 4.349 0.94
805 43.5181 12.379 0.84
908 -7.3499 4.934 0.92
820 46.7029 5.186 0.94
922 6.6873 6.172 0.82
496 -5.5112 3.14 0.94
929 72.336 6.922 0.9
527 -20.4943 3.454 0.94
646 42.4969 5.789 0.87
781 79.6745 8.613 0.87
1020 48.5459 7.036 0.89
427 9.5593 3.635 0.94
821 9.4673 3.714 0.95
167 9.1391 4.2 0.93
178 -78.3278 3.508 0.93
925 54.5553 4.383 0.87
431 -27.5703 3.969 0.94
635 54.9904 3.122 0.94
895 50.7365 6.888 0.84
978 -46.9344 6.175 0.81
991 252.0531 25.371 0.67
168 -7.642 2.741 0.94
993 287.5949 7.227 0.86
10 -5.5158 2.687 0.95
26 109.196 3.806 0.93
35 1.4553 3.338 0.94
45 -34.1594 3.349 0.94
61 55.6852 3.442 0.95
66 53.0607 7.848 0.8
86 166.9497 1.973 0.96
89 13.9169 5.133 0.9
104 -29.5813 3.05 0.95
110 -14.8117 2.732 0.95
132 23.4727 2.685 0.96
135 37.6984 1.819 0.95
206 15.5196 5.038 0.88
139 69.7368 3.471 0.93
255 26.1393 8.218 0.82
141 19.3399 3.645 0.93
145 66.7599 3.833 0.94
207 10.2491 5.174 0.88
164 -11.0943 5.34 0.91
169 221.3797 3.449 0.91
174 -19.571 3.586 0.91
185 60.7476 8.004 0.91
193 33.5654 3.188 0.94
261 19.6752 2.222 0.95
246 27.2863 3.723 0.94
271 22.1264 2.738 0.96
280 13.8535 2.409 0.95
369 40.7533 2.684 0.95
326 31.7523 3.87 0.91
144 92.9277 2.839 0.94
30 23.8231 6.012 0.88
381 21.2115 3.161 0.95
521 58.1859 3.223 0.92
84 -47.2701 4.354 0.92
 548 -3.2598 2.455 0.95
113 16.3267 4.614 0.91
565 -36.186 4.644 0.91
580 -6.6673 4.344 0.91
123 -12.4431 2.94 0.95
638 -17.1722 2.899 0.94
660 -8.5673 6.839 0.87
248 23.1478 3.605 0.92
284 244.4102 2.882 0.95
285 18.526 2.89 0.95
673 1.9881 2.759 0.94
674 -34.945 9.865 0.76
286 41.3493 7.263 0.82
213 8.3496 6.1 0.88
288 -18.5001 4.061 0.89
290 70.515 2.817 0.92
