# oid   ra              dec                verr     vgsr                  ew        b                    l                    u           g           r_cone       i            z            err_u         err_g         err_r         err_i         err_z         dered_u     dered_g     dered_r      dered_i      dered_z     
  54    162.644666667   -0.818641666667    1.977    -84.22109881591797    0.944     49.68381665237249    251.87927804366885   19.297255   16.914373   15.993513    15.677111    15.487183    0.033731516   0.0045885625  0.004053582   0.0043544928  0.005777038   18.992277   16.689974   15.83076     15.5536995   15.399683   
  55    162.477708333   -0.589833333333    3.62     -87.87490182495117    0.6684    49.732571912852904   251.44782500019426   18.88506    17.130508   16.470552    16.236732    16.087826    0.0188263     0.0044990755  0.0039801514  0.0044396697  0.0068703564  18.660973   16.965628   16.350967    16.146053    16.023533   
  56    162.565583333   -0.741894444444    2.029    -102.74969951782228   0.9578    49.68435005600498    251.70897702974824   19.19892    16.827362   15.84637     15.515193    15.333201    0.031837      0.004477906   0.0038909914  0.004304371   0.005559922   18.939169   16.63624    15.707752    15.410084    15.2586775  
  57    162.475708333   -0.614186111111    3.35     -137.79340015335083   0.4987    49.713697445504884   251.47182985261117   18.196938   16.65736    16.048931    15.840961    15.730865    0.013067034   0.0041166516  0.0037312582  0.0042058663  0.006035532   17.974953   16.494026   15.930469    15.751134    15.667176   
  58    162.55275       -0.767208333333    4.55     -92.87199867553713    0.7854    49.65721622062391    251.72183764694265   19.209026   17.302086   16.591057    16.34687     16.233683    0.03433009    0.005069639   0.004443256   0.004686027   0.007863098   18.955921   17.115854   16.455986    16.24445     16.161066   
  59    162.323958333   -0.416886111111    3.121    -107.45589841308593   0.736     49.749085029528224   251.09068368881998   19.445154   17.336847   16.50346     16.179314    15.993597    0.034273934   0.0051428825  0.0044561154  0.004529886   0.007343658   19.222832   17.173264   16.384815    16.08935     15.9298115  
  60    162.297583333   -0.298288888889    3.98     -136.6957001991272    0.5507    49.81522894996432    250.93285160397332   18.654142   17.088268   16.513756    16.304926    16.199575    0.04645699    0.0048672785  0.004373172   0.004598594   0.008093805   18.438414   16.929537   16.39863     16.21763     16.137682   
  61    162.338041667   -0.483030555556    3.442    -82.84039912109375    0.7843    49.71164862661568    251.17781039870988   18.096968   16.320024   15.66163     15.428482    15.324405    0.012477787   0.003891622   0.0036246737  0.0037366238  0.005279314   17.870857   16.153654   15.540964    15.336985    15.259532   
  62    162.230333333   -0.299713888889    6.764    -77.7264007080078     0.92      49.76702822712012    250.86017973839404   18.974636   17.550608   17.015627    16.821806    16.731821    0.024856802   0.00515414    0.004791442   0.005181871   0.011110681   18.764288   17.395836   16.903374    16.736687    16.67147    
  63    162.201125      -0.199425          3.437    -119.40640051879883   0.6557    49.81785946076693    250.71882173962348   18.878918   17.422663   16.822447    16.573326    16.458998    0.017267277   0.004923192   0.004477153   0.0045828978  0.008564253   18.669182   17.268341   16.71052     16.488455    16.398823   
  64    162.272125      -0.414797222222    3.403    -123.22939920349121   0.9231    49.71429220924977    251.03116860139644   19.56134    17.817654   17.112299    16.859644    16.71189     0.037384048   0.0059622456  0.005064537   0.0052720937  0.010336568   19.344912   17.658407   16.996801    16.772064    16.649796   
  65    162.4055        -0.770216666667    5.124    2.0207130419921953    0.4165    49.552771037524266   251.56157619595234   19.313356   17.99002    17.447746    17.233269    17.124174    0.035820484   0.00641734    0.005665758   0.00578811    0.012255698   19.093904   17.82855    17.330635    17.144466    17.061213   
  66    162.259         -0.442169444444    7.848    -85.44469912719728    0.8534    49.68554003575127    251.0462861279118    19.582014   18.149511   17.648811    17.457441    17.34891     0.029033884   0.006312688   0.005763917   0.0061686495  0.013520273   19.366116   17.990656   17.533596    17.370077    17.286966   
  67    162.375541667   -0.782113888889    3.439    -93.84950053710938    0.8817    49.52339654327288    251.54116351728635   18.851282   16.696592   15.828927    15.520702    15.359689    0.027684985   0.004451507   0.0038964874  0.0041844975  0.00564868    18.63098    16.534494   15.711361    15.431556    15.296482   
  68    162.341333333   -0.728405555556    3.594    -119.55100029907227   0.7123    49.53816597467195    251.44574072688474   19.644247   17.661793   16.88549     16.609337    16.458706    0.04389671    0.0056085046  0.0047145085  0.004754401   0.008403423   19.428644   17.503155   16.770433    16.522093    16.396849   
  69    162.279208333   -0.563833333333    3.937    -100.7527002380371    0.4981    49.61272651392062    251.20002842317197   19.247929   17.935839   17.446732    17.242674    17.138113    0.023845298   0.005865865   0.005346834   0.0057026055  0.011995141   19.026035   17.772572   17.328318    17.152884    17.074451   
  70    162.308375      -0.689944444444    5.79     -114.72519952697755   0.922     49.54278007983256    251.36800246223814   20.052042   17.936869   17.01875     16.744856    16.556656    0.06014593    0.006358697   0.0050082537  0.0049563665  0.008804306   19.831491   17.77459    16.90105     16.65561     16.49338    
