# Dist    Mv    CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy       Vr       UU        VV        g-i                     WW        [Fe/H]   l           b      Av      Mbol    Vgsr          g                   
  0.346   6.0   5    5.58   3.737   4.63   8     0.73   0.683   0.046     0.822   1.862   13.829   2.119     0.3062900177240372    -6.889    4.04     83.53     -76.45    0.6813820395469665      -33.76    -0.9     251.19999   49.3   0.081   5.812   -134.96       14.135290490746499  
  0.346   5.0   5    4.95   3.777   4.48   8     0.82   0.548   -0.073    0.668   1.512   12.797   -1.559    0.22123998618125917   -4.692    66.09    1.87      -104.49   0.45330797457695016     2.6       -0.54    251.19999   49.3   0.081   4.893   -72.91        13.01823991751671   
  0.376   9.1   5    7.0    3.585   4.77   6     0.58   1.44    1.21      1.818   3.68    16.982   -1.663    0.7832000360488892    -2.046    -12.34   -4.78     -27.32    2.156457939267159       -39.84    -0.33    251.19999   49.3   0.081   7.666   -151.34       17.765200387001038  
  0.376   9.0   5    7.0    3.587   4.75   7     0.59   1.431   1.222     1.793   3.697   16.916   0.469     0.7775299963951111    -1.777    -5.26    23.58     -17.85    2.11943297457695        -14.94    -0.25    251.19999   49.3   0.081   7.566   -144.26       17.693530362606047  
  0.376   8.8   5    7.0    3.593   4.7    5     0.6    1.419   1.269     1.74    3.761   16.811   -0.971    0.7699700186252594    -3.217    15.89    9.88      -56.8     2.0409400141239167      -22.55    -0.03    251.19999   49.3   0.081   7.366   -123.11       17.580970842599868  
  0.376   8.3   5    6.9    3.607   4.68   7     0.65   1.357   1.205     1.621   3.427   16.277   1.834     0.7309099957942963    -0.293    -20.93   34.61     17.92     1.8647010762691498      -3.43     -0.27    251.19999   49.3   0.081   6.93    -159.93       17.00791042304039   
  0.376   7.5   5    6.5    3.633   4.63   7     0.71   1.247   1.126     1.367   3.044   15.481   2.638     0.6616099867820739    -2.243    -33.64   66.34     4.0       1.488526975989342       -22.73    -0.26    251.19999   49.3   0.081   6.225   -172.64       16.142609933376313  
  0.376   6.9   5    6.5    3.656   4.57   7     0.74   1.153   1.022     1.194   2.742   14.784   1.303     0.6023899981975556    -1.742    -29.75   41.02     1.74      1.23231400847435        -26.45    -0.22    251.19999   49.3   0.081   5.73    -168.75       15.386390394926071  
  0.376   6.9   5    6.5    3.656   4.58   6     0.75   1.14    0.981     1.19    2.736   14.776   -2.399    0.5941999909877778    -0.052    9.63     -37.79    -18.2     1.2263900847434999      -12.6     -0.33    251.19999   49.3   0.081   5.73    -129.37       15.370200013875962  
  0.376   6.9   5    6.5    3.656   4.59   5     0.76   1.146   0.999     1.192   2.739   14.897   -2.926    0.5979800174236297    -1.32     26.46    -38.29    -47.81    1.229352046608925       -14.64    -0.29    251.19999   49.3   0.081   5.73    -112.54       15.494980330228806  
  0.376   6.7   5    6.4    3.664   4.58   6     0.77   1.09    0.9       1.122   2.628   14.677   1.906     0.5627000210285187    -1.521    -39.85   50.33     13.8      1.1256819689273836      -27.38    -0.37    251.19999   49.3   0.081   5.595   -178.85       15.239700066804886  
  0.376   6.5   5    6.3    3.673   4.58   6     0.81   1.077   0.936     1.063   2.53    14.363   1.907     0.5545100138187409    -1.796    0.6      44.22     -14.78    1.038302946329117       1.01      -0.08    251.19999   49.3   0.081   5.46    -138.4        14.9175099298954    
  0.406   9.1   5    7.0    3.585   4.77   5     0.58   1.44    1.238     1.808   3.802   17.165   -0.605    0.7832000360488892    -0.211    5.56     -9.06     -9.58     2.1416479533910753      -2.97     -0.13    251.19999   49.3   0.081   7.666   -133.44       17.948200951576233  
  0.406   6.7   5    6.4    3.664   4.58   2     0.76   1.123   1.0       1.133   2.643   14.8     -1.189    0.5834900162220001    0.654     -1.1     -25.26    3.77      1.1419730240106583      -5.38     -0.1     251.19999   49.3   0.081   5.595   -140.1        15.383490206956864  
  0.406   6.5   5    6.3    3.673   4.57   4     0.78   1.077   0.937     1.063   2.53    14.688   -4.024    0.5545100138187409    0.867     35.99    -81.26    -30.87    1.038302946329117       -0.19     -0.07    251.19999   49.3   0.081   5.46    -103.009995   15.242509739160537  
  0.406   6.3   5    6.3    3.682   4.56   3     0.83   1.043   0.901     1.018   2.425   14.406   0.188     0.5330899891853332    0.078     5.69     1.14      -1.43     0.9716580098867418      6.65      0.07     251.19999   49.3   0.081   5.325   -133.31       14.939090126514435  
  0.406   6.3   5    6.3    3.682   4.56   6     0.83   1.021   0.824     1.007   2.414   14.487   -2.695    0.5192300174236297    0.108     61.12    -57.78    -50.24    0.9553669548034669      23.69     -0.14    251.19999   49.3   0.081   5.325   -77.880005    15.006230482816695  
  0.406   6.0   5    6.1    3.697   4.56   5     0.85   0.946   0.667     0.944   2.239   14.218   0.216     0.4719799873828888    -0.493    3.71     7.36      -8.16     0.86206400847435        0.29      -0.13    251.19999   49.3   0.081   5.155   -135.29       14.689980399370194  
  0.406   5.7   5    6.0    3.712   4.51   6     0.85   0.857   0.465     0.896   2.098   13.885   -0.664    0.4159099957942962    -1.048    -8.81    0.83      -12.89    0.7909760409593583      -21.89    -0.23    251.19999   49.3   0.081   4.92    -147.81       14.300910224676132  
  0.406   5.1   5    5.6    3.745   4.42   7     0.91   0.708   0.188     0.793   1.77    13.189   -2.52     0.3220400027036667    -0.331    7.51     -39.55    -22.46    0.6384329745769501      -19.35    -0.18    251.19999   49.3   0.081   4.383   -131.49       13.511040132403373  
  0.406   5.6   5    5.8    3.717   4.55   5     0.93   0.827   0.406     0.882   2.054   13.711   -2.752    0.3970100138187409    -0.127    21.02    -48.08    -29.12    0.7702420430779457      -9.31     -0.25    251.19999   49.3   0.081   4.851   -117.979996   14.108010456323624  
  0.406   5.4   5    5.8    3.728   4.51   3     0.95   0.802   0.394     0.851   1.951   13.537   -4.528    0.3812599912881851    0.922     26.07    -87.9     -26.59    0.7243310162425041      -11.63    0.01     251.19999   49.3   0.081   4.651   -112.93       13.918259693741799  
  0.406   4.6   5    5.1    3.77    4.42   5     1.06   0.629   0.102     0.695   1.548   12.66    0.942     0.27227000510692595   -0.307    -5.89    19.46     4.19      0.4932949894070626      1.04      0.01     251.19999   49.3   0.081   3.979   -144.89       12.932269852519035  
  0.406   4.6   5    5.1    3.77    4.43   4     1.08   0.625   0.089     0.695   1.55    12.739   -1.625    0.26975               -0.459    33.98    -29.33    -35.95    0.4932949894070626      7.41      -0.03    251.19999   49.3   0.081   3.979   -105.020004   13.00875032043457   
  0.406   7.6   5    6.51   3.655   4.73   8     0.6    1.074   0.67      1.155   2.669   15.752   0.149     0.5526200006008148    -0.087    5.69     2.04      -3.97     1.1745549576282501      4.84      -1.32    251.19999   49.3   0.081   7.078   -133.31       16.30461985564232   
  0.406   5.6   5    5.28   3.755   4.58   8     0.77   0.631   0.0040    0.753   1.681   13.663   -3.365    0.27352998888492586   1.386     7.54     -69.4     -2.51     0.5791930310726165      -11.33    -0.58    251.19999   49.3   0.081   5.457   -131.46       13.93653009569645   
  0.436   9.0   5    7.0    3.587   4.75   6     0.59   1.401   1.287     1.791   3.645   17.341   0.399     0.7586300144195557    0.143     -23.73   10.52     19.06     2.116471012711525       -12.86    0.19     251.19999   49.3   0.081   7.566   -162.73       18.09962961769104   
  0.436   8.8   5    7.0    3.593   4.7    6     0.6    1.415   1.239     1.745   3.673   17.067   -0.987    0.7674499759674073    2.161     35.01    -46.34    5.81      2.0483450070619584      38.06     -0.18    251.19999   49.3   0.081   7.366   -103.990005   17.83444941139221   
  0.436   8.5   5    7.0    3.601   4.68   5     0.62   1.388   1.246     1.677   3.567   16.706   -3.899    0.7504400072097779    0.49      26.29    -78.7     -30.57    1.9476370677947998      -12.03    -0.17    251.19999   49.3   0.081   7.098   -112.71       17.456439381599427  
  0.436   8.5   5    6.9    3.601   4.7    5     0.63   1.385   1.233     1.677   3.545   16.754   -2.859    0.7485499939918518    1.189     11.45    -64.39    -4.94     1.9476370677947998      -6.77     -0.21    251.19999   49.3   0.081   7.13    -127.55       17.50254970407486   
  0.436   8.4   5    6.9    3.604   4.7    6     0.64   1.375   1.231     1.65    3.511   16.649   0.439     0.74225               -2.757    15.22    32.18     -48.97    1.9076499646902088      -10.88    -0.2     251.19999   49.3   0.081   7.03    -123.78       17.391250167846678  
  0.436   8.0   5    6.7    3.616   4.66   2     0.67   1.336   1.287     1.536   3.261   16.309   -0.651    0.7176799783706665    -0.872    1.88     -3.02     -18.09    1.7388160197734832      -13.09    0.07     251.19999   49.3   0.081   6.662   -137.12       17.026679993629454  
  0.436   7.5   5    6.5    3.633   4.62   5     0.7    1.266   1.188     1.371   3.121   15.824   -2.579    0.6735800204277038    -1.426    61.69    -43.77    -74.25    1.4944510762691499      8.78      -0.09    251.19999   49.3   0.081   6.225   -77.31        16.497580379009246  
  0.436   7.6   5    6.5    3.63    4.66   6     0.71   1.254   1.114     1.393   3.053   15.83    -2.368    0.6660199675559998    -0.67     28.74    -40.76    -41.2     1.527033009886742       -6.94     -0.32    251.19999   49.3   0.081   6.325   -110.26       16.496019891262055  
  0.436   6.8   5    6.4    3.66    4.61   6     0.77   1.127   0.978     1.161   2.689   15.059   -1.327    0.5860099837779998    1.013     6.11     -34.68    4.25      1.1834410197734833      1.9       -0.26    251.19999   49.3   0.081   5.695   -132.89       15.64500999903679   
  0.436   6.5   5    6.3    3.673   4.56   6     0.77   1.087   0.967     1.066   2.534   14.693   1.981     0.5608100078105926    0.341     -28.95   37.33     34.15     1.0427459774017334      -0.04     0.01     251.19999   49.3   0.081   5.46    -167.95       15.253809847593308  
  0.436   5.6   5    5.8    3.717   4.54   6     0.91   0.837   0.441     0.883   2.056   13.913   -2.279    0.4033100078105927    -0.504    49.24    -45.18    -50.83    0.7717230240106583      11.03     -0.15    251.19999   49.3   0.081   4.851   -89.759995    14.316310114622116  
  0.436   5.0   5    5.5    3.75    4.47   4     0.99   0.714   0.237     0.781   1.723   13.294   1.101     0.32581999158859254   -0.186    -25.64   26.53     19.16     0.6206610268354416      -10.87    0.07     251.19999   49.3   0.081   4.315   -164.64       13.619819663524627  
  0.436   4.4   5    5.0    3.76    4.3    7     1.02   0.579   -0.102    0.732   1.638   12.587   2.172     0.24076999759674073   -0.793    -19.07   49.99     11.83     0.5480919901132584      -1.67     -0.9     251.19999   49.3   0.081   3.747   -158.07       12.827769890785218  
  0.436   4.4   5    5.0    3.77    4.38   5     1.09   0.628   0.098     0.695   1.548   12.734   -1.252    0.271640013217926     0.357     37.32    -33.35    -24.6     0.4932949894070626      19.95     0.0      251.19999   49.3   0.081   3.779   -101.68       13.005640219211578  
  0.436   3.3   4    5.0    3.77    3.94   6     1.2    0.629   0.111     0.695   1.54    11.57    -0.862    0.27227000510692595   -0.572    -11.88   -6.85     -6.21     0.4932949894070626      -22.62    0.02     251.19999   49.3   0.081   2.767   -150.88       11.842269699931144  
  0.436   2.2   4    4.4    3.84    3.95   3     1.65   0.392   0.037     0.422   0.853   10.445   0.133     0.12295999354124071   -0.456    -6.92    8.36      -1.94     0.08898198658227918     -8.39     0.09     251.19999   49.3   0.081   1.835   -145.92       10.567959688365459  
  0.436   9.4   5    6.95   3.596   4.89   8     0.44   1.411   1.249     1.846   3.721   17.632   -2.877    0.7649300084114075    0.637     83.56    -74.32    -57.96    2.197925935029984       42.43     -0.02    251.19999   49.3   0.081   8.405   -55.440002    18.39692997789383   
  0.436   8.0   5    6.64   3.638   4.75   8     0.57   1.184   0.936     1.314   2.862   16.344   -3.615    0.6219200096130371    1.213     50.66    -86.1     -33.0     1.4100340155363085      16.08     -0.71    251.19999   49.3   0.081   7.368   -88.34        16.965919872283937  
  0.436   5.6   5    5.28   3.755   4.58   8     0.77   0.605   -0.075    0.754   1.687   13.967   4.646     0.2571500120162964    -3.897    -24.27   125.57    -18.44    0.5806740120053291      -12.22    -0.91    251.19999   49.3   0.081   5.457   -163.27       14.224150019645691  
  0.465   9.0   5    7.0    3.587   4.75   4     0.59   1.43    1.264     1.782   3.814   17.488   -1.482    0.7768999669551849    0.705     -6.52    -33.93    6.66      2.1031419194936753      -12.59    0.01     251.19999   49.3   0.081   7.566   -145.52       18.26490083670616   
  0.465   8.9   5    7.0    3.59    4.72   7     0.59   1.423   1.272     1.761   3.779   17.285   -1.248    0.7724899861812592    1.55      2.03     -40.42    16.55     2.072041055083275       4.95      0.01     251.19999   49.3   0.081   7.466   -136.97       18.05748983359337   
  0.465   8.6   5    7.0    3.598   4.71   5     0.62   1.403   1.268     1.698   3.671   16.981   -2.474    0.7598899981975555    -0.745    28.23    -44.22    -44.36    1.9787379322052003      -11.14    -0.06    251.19999   49.3   0.081   7.198   -110.770004   17.74089089846611   
  0.465   8.3   5    6.9    3.607   4.68   7     0.65   1.323   1.071     1.572   3.244   16.741   -1.682    0.7094899711608886    0.37      45.24    -44.94    -31.96    1.7921320395469666      21.19     -0.76    251.19999   49.3   0.081   6.93    -93.759995    17.450489192962646  
  0.465   7.5   5    6.5    3.633   4.62   4     0.7    1.258   1.161     1.369   3.087   15.896   -2.697    0.6685400102138519    0.764     22.24    -63.33    -17.4     1.491488937854767       -2.39     -0.16    251.19999   49.3   0.081   6.225   -116.76       16.56453991866112   
  0.465   7.6   5    6.5    3.63    4.66   5     0.71   1.278   1.191     1.397   3.166   16.063   -1.693    0.6811399981975556    0.895     13.88    -44.21    -4.1      1.532956933617592       2.71      -0.11    251.19999   49.3   0.081   6.325   -125.12       16.74413972353935   
  0.465   6.6   5    6.3    3.669   4.6    4     0.79   1.121   1.053     1.116   2.604   14.986   -2.824    0.5822300324440003    0.499     27.31    -63.93    -25.61    1.1167960833311081      -2.55     0.13     251.19999   49.3   0.081   5.56    -111.69       15.568230093479157  
  0.465   5.7   5    6.0    3.712   4.53   7     0.89   0.851   0.447     0.896   2.097   14.194   -2.395    0.4121300069093704    1.012     8.75     -57.51    -3.24     0.7909760409593583      -7.04     -0.29    251.19999   49.3   0.081   4.92    -130.25       14.606130251049995  
  0.465   5.0   5    5.5    3.75    4.46   6     0.96   0.686   0.149     0.774   1.725   13.378   -3.809    0.30817999339103697   0.098     26.87    -77.96    -37.76    0.6102939837574959      -16.92    -0.2     251.19999   49.3   0.081   4.315   -112.13       13.68618025279045   
  0.465   3.5   4    5.0    3.77    4.02   6     1.17   0.604   0.041     0.695   1.548   11.875   0.596     0.25651998257637026   -0.214    -38.94   21.63     24.12     0.4932949894070626      -25.73    -0.22    251.19999   49.3   0.081   2.967   -177.94       12.13151998257637   
  0.465   9.0   5    6.88   3.606   4.85   8     0.49   1.318   1.03      1.714   3.232   17.518   -7.391    0.7063399741649627    -0.358    51.84    -145.32   -82.03    2.0024339802265168      -38.7     -0.88    251.19999   49.3   0.081   8.101   -87.16        18.224339623212813  
