# Dist     Mv     CL   Typ    LTef    logg   Age   Mass   B-V     U-B       V-I     V-K     V        mux       g-V                   muy      Vr       UU        VV        g-i                  WW        [Fe/H]   l           b      Av      Mbol     Vgsr          g                   
  0.886    6.0    5    6.1    3.697   4.57   7     0.87   0.937   0.638     0.942   2.236   15.874   -0.988    0.466309985280037     -0.222   9.96     -32.72    -24.28    0.8591019583344459   -15.7     -0.21    251.19999   49.3   0.081   5.155    -129.04       16.340309580922128  
  0.886    5.7    5    6.0    3.712   4.55   7     0.92   0.867   0.504     0.898   2.102   15.567   -0.953    0.4222099897861481    0.638    9.45     -48.95    3.11      0.7939380028247833   1.43      -0.13    251.19999   49.3   0.081   4.92     -129.55       15.98921037888527   
  0.886    7.2    5    6.37   3.674   4.71   8     0.63   1.015   0.756     1.04    2.496   17.103   -0.596    0.5154499909877777    -0.862   47.34    -13.56    -62.74    1.0042399435043337   7.59      -0.59    251.19999   49.3   0.081   6.779    -91.66        17.61845063185692   
  0.886    7.0    5    6.29   3.684   4.7    8     0.65   0.968   0.675     0.99    2.378   16.83    0.247     0.4858399966955185    -0.733   33.05    16.85     -40.33    0.9301900141239168   15.42     -0.52    251.19999   49.3   0.081   6.625    -105.95       17.315839920401572  
  0.936    6.8    5    6.4    3.66    4.61   4     0.77   1.153   1.058     1.17    2.701   16.724   -0.749    0.6023899981975556    -0.182   11.77    -26.73    -22.22    1.1967699364423752   -9.98     -0.04    251.19999   49.3   0.081   5.695    -127.229996   17.326390928983688  
  0.936    6.6    5    6.3    3.669   4.6    4     0.79   1.125   1.064     1.119   2.605   16.621   -0.759    0.58475               0.179    0.32     -32.45    -3.45     1.121238937854767    -11.39    0.16     251.19999   49.3   0.081   5.56     -138.68       17.205750289916992  
  0.936    6.2    5    6.2    3.687   4.58   6     0.82   1.005   0.8       0.99    2.361   16.204   1.076     0.5091499969959259    -1.443   -33.64   78.7      -13.56    0.9301900141239168   -33.59    -0.06    251.19999   49.3   0.081   5.29     -172.64       16.713150470018387  
  0.936    5.9    5    6.1    3.701   4.54   7     0.84   0.875   0.444     0.916   2.172   15.829   -1.074    0.42725               0.736    32.71    -63.17    -8.98     0.820596012711525    18.32     -0.61    251.19999   49.3   0.081   5.055    -106.29       16.25625047302246   
  0.936    5.7    5    6.0    3.712   4.53   6     0.89   0.875   0.532     0.898   2.104   15.693   -0.97     0.42725               -0.075   32.92    -41.77    -34.44    0.7939380028247833   3.8       -0.05    251.19999   49.3   0.081   4.92     -106.08       16.120249839782716  
  0.936    5.6    5    5.8    3.717   4.55   7     0.93   0.823   0.391     0.882   2.053   15.634   -0.904    0.39449000871181483   0.165    -0.19    -37.53    -5.35     0.7702420430779457   -15.02    -0.29    251.19999   49.3   0.081   4.851    -139.19       16.028489833235742  
  0.936    7.2    5    6.37   3.674   4.71   8     0.63   1.003   0.699     1.031   2.485   17.197   -0.683    0.507890013217926     -0.634   60.13    -24.66    -66.09    0.9909110268354417   18.67     -0.77    251.19999   49.3   0.081   6.779    -78.869995    17.704890516757963  
  0.936    6.8    5    6.21   3.695   4.68   8     0.66   0.881   0.417     0.93    2.23    16.834   -1.266    0.43102998888492583   -0.944   32.35    -34.02    -66.11    0.8413300105929375   -20.59    -0.95    251.19999   49.3   0.081   6.469    -106.65       17.26502962267399   
  0.986    6.9    5    6.5    3.656   4.58   7     0.75   1.127   0.94      1.186   2.729   17.046   -0.069    0.5860099837779998    -0.931   18.01    14.64     -44.1     1.2204659844636918   -8.1      -0.44    251.19999   49.3   0.081   5.73     -120.99       17.632009510755537  
  0.986    6.7    5    6.4    3.664   4.57   7     0.75   1.057   0.773     1.101   2.603   16.745   -1.437    0.5419100258350372    -0.29    43.69    -59.49    -55.17    1.0945809279680252   -3.79     -0.75    251.19999   49.3   0.081   5.595    -95.31        17.286910865068435  
  0.986    6.6    5    6.3    3.669   4.6    5     0.79   1.107   0.99      1.101   2.591   16.611   -1.036    0.5734099957942963    0.835    37.81    -67.99    -7.65     1.0945809279680252   24.8      -0.03    251.19999   49.3   0.081   5.56     -101.19       17.184410056829453  
  0.986    6.4    5    5.93   3.716   4.66   8     0.7    0.794   0.27      0.88    2.058   16.538   -1.502    0.37622001862525944   -3.794   47.62    16.77     -179.34   0.7672799929380418   -78.57    -0.71    251.19999   49.3   0.081   6.148    -91.380005    16.91422012543678   
  1.036    6.7    5    6.4    3.664   4.59   6     0.79   1.112   0.969     1.13    2.638   16.897   0.758     0.5765599927902222    -0.593   -9.76    47.78     -5.38     1.1375299929380418   -4.01     -0.19    251.19999   49.3   0.081   5.595    -148.76       17.473559351921082  
