oid_1,ra,dec,snr,v_rad,v_helio,v_gsr,v_err,prior_teff,param_teff,param_logg,param_feh,param_alpha,chi_sq,oid_2,vrad,verr,R,absverr,delta_vgsr,vgsr
16,162.933708333,-0.262411111111,32.7346621408,4.3317,4.3313,-132.75,3.598,9799.63,4665.89,4.28170511221,-1.56006347213,0.399998092442,3.48653,16,-9.3807,7.799,0.77,7.798999786376953,-137.08169984817505,-146.46239984817504
17,162.91725,-0.272263888889,43.4710751535,80.6666,80.6591,-56.4732,3.364,4566.27,4834.24,4.5000031138,-1.39940249663,0.39844070798,3.24309,17,75.0775,4.467,0.92,4.4670000076293945,-137.1398030883789,-62.0623030883789
18,162.684166667,-0.204669444444,46.2369544524,-4.313,-4.3126,-141.549,4.489,4563.09,4750.0,5.0,-1.5,0.4,8.42704,18,-8.4801,7.651,0.91,7.651000022888184,-137.23599979782105,-145.71609979782104
19,163.003041667,-0.336447222222,69.9301409221,24.429,24.4268,-112.784,1.637,4734.67,4750.45,4.49978859698,-0.888165715996,0.195912224024,2.7253,19,19.4573,1.695,0.95,1.6950000524520874,-137.21300085449218,-117.75570085449218
20,162.699,-0.226369444444,34.9806063737,28.2371,28.2345,-109.048,6.202,4256.55,4815.41,5.0,-1.03622912317,0.4,6.4311,20,24.037,13.038,0.82,13.038000106811523,-137.2851006011963,-113.24810060119628
21,162.752083333,-0.259966666667,32.9509995536,18.1921,18.1904,-119.123,3.593,6183.66,4990.25,3.99982510636,-1.45684798619,0.325407899819,2.51208,21,8.9385,6.284,0.91,6.283999919891357,-137.31510052490233,-128.37660052490233
22,162.743541667,-0.277936111111,39.9993118227,88.7549,88.7467,-48.6315,3.802,5921.86,4644.98,3.4999796119,-1.31791537974,0.391098238589,9.20296,22,85.3037,5.347,0.89,5.3470001220703125,-137.38639807128908,-52.08269807128907
23,162.978041667,-0.385413888889,74.4630813779,55.4692,55.4641,-81.9261,2.358,4103.14,4169.71,3.99999986095,-1.31211288383,0.292412961736,4.40443,23,50.5927,3.037,0.95,3.0369999408721924,-137.39530013427736,-86.80260013427736
24,162.252083333,-0.0576361111111,68.2116135182,-23.2186,-23.2165,-160.575,2.303,4745.28,5228.93,4.99999876554,-0.591483563013,1.2297235847E-4,6.09813,24,-29.4876,3.84,0.94,3.8399999141693115,-137.35640068054198,-166.84400068054197
25,162.335416667,-0.105913888889,84.7998908276,11.7952,11.7941,-125.602,2.25,4931.55,5093.12,4.99959642984,-0.423348429526,3.23526264285E-4,4.19718,25,5.5715,2.548,0.95,2.5480000972747803,-137.3972003479004,-131.8257003479004
26,162.255208333,-0.0780166666667,42.2097337245,112.008,111.998,-25.4183,2.932,4154.44,4196.51,1.09970006715,-1.86690093815,0.264089702382,2.61013,26,109.196,3.806,0.93,3.805999994277954,-137.42630323486327,-28.23030323486327
27,162.930208333,-0.445913888889,55.6973239441,-35.6749,-35.6715,-173.306,2.022,4155.51,5745.19,4.99999984857,-1.0952304886,3.93445511989E-5,1.50916,27,-39.6082,3.147,0.94,3.1470000743865967,-137.63109994506837,-177.23929994506835
28,162.339333333,-0.144780555556,29.4527374809,-1.288,-1.2879,-138.795,3.786,4234.81,5000.0,5.0,-2.0,0.4,8.76249,28,-3.4261,6.417,0.84,6.416999816894531,-137.50700001239775,-140.93310001239774
29,162.818291667,-0.431333333333,54.4470125246,49.9647,49.96,-87.7783,1.814,4569.98,5038.23,4.31661889264,-1.41324441586,0.32269840459,1.93574,29,43.1196,3.365,0.95,3.365000009536743,-137.7429987915039,-94.62339879150392
30,162.696833333,-0.370308333333,29.3370474574,32.5563,32.5533,-105.162,3.707,3773.95,5000.18,4.27369877393,-1.63642164211,0.387033257991,3.19899,30,23.8231,6.012,0.88,6.01200008392334,-137.71830111694337,-113.89520111694337
31,162.836333333,-0.471594444444,59.1961863346,1.0794,1.0793,-136.755,2.134,4747.97,4995.63,4.99993268359,-0.490507757664,4.60144457037E-4,2.77857,31,-4.7542,3.026,0.95,3.0260000228881836,-137.83439994335174,-142.58859994335174
32,162.656625,-0.370044444444,63.130458845,37.0333,37.0298,-100.738,3.591,4689.26,4749.6,4.6697790608,-1.34011109084,0.253580877379,5.93945,32,34.4561,3.869,0.91,3.86899995803833,-137.77129849243164,-103.31519849243165
